,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,model,TotalCounts,Target
82,,MINT Nikon Ai Nikkor 24 mm f28 Manual Focus MF Wide Lens WHood Japan 1911,153652407836,【MINT+++】 Nikon Ai Nikkor 24mm f/2.8 Manual Focus MF Wide Lens W/Hood Japan 1911,https://www.ebay.com/itm/MINT-Nikon-Ai-Nikkor-24mm-f-2-8-Manual-Focus-MF-Wide-Lens-W-Hood-Japan-1911-/153652407836,139.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon F,18132.0,20
13,,Nikon NIKKOR H Auto 28 cm f35 Non Ai Lens Mnanual Focus 28 mm F35 Japan,202747264727,Nikon NIKKOR H Auto 2.8cm f/3.5 Non Ai Lens Mnanual Focus 28mm F3.5 from Japan,https://www.ebay.com/itm/Nikon-NIKKOR-H-Auto-2-8cm-f-3-5-Non-Ai-Lens-Mnanual-Focus-28mm-F3-5-Japan-/202747264727,70.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon F,18132.0,20
51,,NEAR MINT Tokina ATX PRO AF 2870 mm f28 Zoom Lens Nikon Japan,352802288653,NEAR MINT Tokina AT-X PRO AF 28-70mm f/2.8 Zoom Lens for Nikon from Japan,https://www.ebay.com/itm/NEAR-MINT-Tokina-AT-X-PRO-AF-28-70mm-f-2-8-Zoom-Lens-Nikon-Japan-/352802288653,169.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon F,18132.0,20
52,,Nikon Nikkor O C Auto 35 mm F2 MF Non Ai Lens Japan,202750054101,Nikon Nikkor O C Auto 35mm F2 MF Non Ai Lens from Japan,https://www.ebay.com/itm/Nikon-Nikkor-O-C-Auto-35mm-F2-MF-Non-Ai-Lens-Japan-/202750054101,135.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon F,18132.0,20
95,,EXCELLENT Nikon Nikkor 50 mm Ais Ais MF Lens Japan,202781237275,EXCELLENT Nikon Nikkor 50mm f/1.2 Ai-s Ais MF Lens from Japan,https://www.ebay.com/itm/EXCELLENT-Nikon-Nikkor-50mm-f-1-2-Ai-s-Ais-MF-Lens-Japan-/202781237275,324.88,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR,14204.0,20
68,,Excellent Nikon Nikkor 200 mm f4 Ai Manual Focus Telephoto Lens Japan,303276676663,"""Excellent"" Nikon Nikkor 200mm f/4 Ai Manual Focus Telephoto Lens from Japan",https://www.ebay.com/itm/Excellent-Nikon-Nikkor-200mm-f-4-Ai-Manual-Focus-Telephoto-Lens-Japan-/303276676663,108.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR,14204.0,20
48,,MINT Nikon AF Nikkor 28105 mm f3545 D AF Standard Zoom Lens Japan 89,193001226905,【MINT】 Nikon AF Nikkor 28-105mm f/3.5-4.5 D AF Standard Zoom Lens Japan #89,https://www.ebay.com/itm/MINT-Nikon-AF-Nikkor-28-105mm-f-3-5-4-5-D-AF-Standard-Zoom-Lens-Japan-89-/193001226905,99.99,USD,JP,3323,Lenses,FixedPrice,Used,Nikon NIKKOR,14204.0,20
68,,AS Nikon AF Nikkor 3570 mm 28 Zoome Lens Japan 202 B,401888942574,"""AS IS"" Nikon AF Nikkor 35-70mm f 2.8 Zoome Lens From Japan #202 B",https://www.ebay.com/itm/AS-IS-Nikon-AF-Nikkor-35-70mm-f-2-8-Zoome-Lens-Japan-202-B-/401888942574,84.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR,14204.0,20
37,,EXCELLENT Nikon Nikkor 50 mm Ais Ais MF Lens Japan,202781237275,EXCELLENT Nikon Nikkor 50mm f/1.2 Ai-s Ais MF Lens from Japan,https://www.ebay.com/itm/EXCELLENT-Nikon-Nikkor-50mm-f-1-2-Ai-s-Ais-MF-Lens-Japan-/202781237275,324.88,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR,14204.0,20
82,,zoom nikkor 3672 mm lens nikon mount Eseries ais 4805803123,323892166283,zoom nikkor 36-72mm f/3.5 lens for nikon f mount E-series ais ai-s 480580-3123,https://www.ebay.com/itm/zoom-nikkor-36-72mm-f-3-5-lens-nikon-f-mount-E-series-ais-ai-s-480580-3123-/323892166283,38.0,USD,JP,3323,Lenses,StoreInventory,Used,nikkor,14057.0,20
0,,Nikon AFS Nikkor 55200 mm F456 G ED DX VR SWM Lens Japan 492814,312777530797,Nikon AF-S afs Nikkor 55-200mm F4-5.6 G ED DX VR IF SWM Lens from Japan #492814,https://www.ebay.com/itm/Nikon-AF-S-afs-Nikkor-55-200mm-F4-5-6-G-ED-DX-VR-IF-SWM-Lens-Japan-492814-/312777530797,88.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14057.0,20
83,,Nikon Ai Nikkor 35 mm f2 MF Wide Angle Lens w Cap Excellent Japan,174005420970,Nikon Ai Nikkor 35mm f/2 MF Wide Angle Lens w/ Cap [Excellent-] From Japan,https://www.ebay.com/itm/Nikon-Ai-Nikkor-35mm-f-2-MF-Wide-Angle-Lens-w-Cap-Excellent-Japan-/174005420970,139.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14057.0,20
78,,Nikon AF NIKKOR 28105 mm F3545 13545 D Lens Japan,312780238150,Nikon AF NIKKOR 28-105mm F3.5-4.5 1:3.5-4.5 D Lens from Japan #486703[very good],https://www.ebay.com/itm/Nikon-AF-NIKKOR-28-105mm-F3-5-4-5-1-3-5-4-5-D-Lens-Japan-486703-very-good-/312780238150,90.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14057.0,20
28,,AS Nikon NIKKOR S Auto 50 mm F14 NonAi Lens Japan 487632,202750812907,AS IS Nikon NIKKOR S Auto 50mm F1.4 Non-Ai Lens from Japan #487632,https://www.ebay.com/itm/Nikon-NIKKOR-S-Auto-50mm-F1-4-Non-Ai-Lens-Japan-487632-/202750812907,30.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14057.0,20
