,JP_shortTitle,shortTitle,itemId,title,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,TotalCounts
78,,leica m #190530e,333317797857,"""MINT"" Konica M-HEXANON 28mm F2.8 MF Lens for KM Mount Leica M #190530e",526.17,USD,JP,3323,Lenses,StoreInventory,Used,
86,,leica summicron-m 50mm,192919420760,Leica Summicron-M 50mm F/2.0 GERMANY BLACK for M6 M7 MP etc #2907,1350.0,USD,JP,3323,Lenses,StoreInventory,Used,
87,,"""near mint""leica summicron-m",202678894607,"""Near Mint""Leica Summicron-M 50mm F/2.0 GERMANY BLACK for M6 M7 MP etc #2870",1400.0,USD,JP,3323,Lenses,StoreInventory,Used,
88,,leica elmarit-m 28mm,192964648229,"Leica ELMARIT-M 28mm f/2.8 Modified to 6 bit-code""Excellent in Box"" #2661",1195.0,USD,JP,3323,Lenses,StoreInventory,Used,
96,,leica m4 black,132997941531,*RARE!! Near Mint+++* Leica M4 Black Chrome Film Camera Yr.1974 From Japan #1935,2399.0,USD,JP,15230,Film Cameras,StoreInventory,Used,
8,,leica screw mount,133158252336,NIKKOR-H.C. 5cm 50mm f2 f/2 Nippon Kogaku Japan Leica  screw mount  #655265,159.0,USD,JP,3323,Lenses,StoreInventory,Used,
10,,leica neck strap,323788689412,Genuine LEICA NECK Strap for M8 M4 M6 M2 M3 R9 R8 R7 13681,36.75,USD,JP,107894,"Cases, Bags & Covers",FixedPrice,Used,
11,,leica m6 0.72,133124381646,*Near Mint-* Leica M6 0.72 Chrome Late Model Rangefinder Camera Body Japan #2308,1899.0,USD,JP,15230,Film Cameras,StoreInventory,Used,
14,,leica screw s-50,133158252306,Canon  Metal Lens Hood for  50mm f1.4 Leica screw S-50 #815216,22.0,USD,JP,78999,Lens Hoods,StoreInventory,Used,
16,,leica m w/hood,133137880932,[Near Mint] Voigtlander Color Skopar 25mm f/4 P Lens for Leica M w/Hood #0022,399.9,USD,JP,3323,Lenses,StoreInventory,Used,
21,,【near mint】leica m6,174019236489,【NEAR MINT】Leica M6 Black 0.72 35mm Rangefinder Film Camera Body from JAPAN,1999.99,USD,JP,15230,Film Cameras,StoreInventory,Used,
28,,leica ltm l39,303274146379,Canon P Rangefinder Camera Body Leica LTM L39 from Japan 711926 Exc++,149.0,USD,JP,15230,Film Cameras,FixedPrice,Used,
36,,leica screw mount,323898294311,Canon 50mm f/1.4 Leica Screw Mount LTM L39 w/S-50 Hood 14601,202.13,USD,JP,3323,Lenses,StoreInventory,Used,
38,,leica m6 black,153633414234,"【Exc++++】 Leica M6 Black TTL 0.85 Rangefinder Film Camera body, Strap From JAPAN",1899.99,USD,JP,15230,Film Cameras,StoreInventory,Used,
44,,leica e39 uva,383096324487,[Excellent+++++] Leica E39 UVa Protection Filter 13131 39mm Black From Japan,59.99,USD,JP,15216,Filters,StoreInventory,Used,
63,,leica lens front,183852085702,Leica lens front cap bakelite black,26.45,USD,JP,79001,Lens Caps,FixedPrice,Used,
64,,leica m mount,163807180577,[Unused] Voigtlander Bessa R3A Rangefinder Leica M Mount Camera from Japan #2235,1099.9,USD,JP,15230,Film Cameras,FixedPrice,Used,
68,,leica x digital,143301831385,Leica X  Digital Camera #22447 D5,1020.6,USD,JP,31388,Digital Cameras,FixedPrice,Used,
70,,leica germany 5x,133162059482,[Top MINT] Leitz Leica Germany 5X Universal Lupe Loupe 37350 Leica From JAPAN,299.9,USD,JP,162480,Other Camera & Photo Accs,StoreInventory,Used,
