,Unnamed: 0,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,model
1054,11,,near mintnikon nikkor,323876102420,【Near Mint】NIKON NIKKOR AI 300mm F/4.5 1:4.5 Telephoto MF Lens F Mount From JP,https://www.ebay.com/itm/Near-Mint-NIKON-NIKKOR-AI-300mm-F-4-5-1-4-5-Telephoto-MF-Lens-F-Mount-JP-/323876102420,104.99,USD,JP,3323,Lenses,StoreInventory,Used,
1055,12,,nikon non ai,133146276919,"""EXCELLENT+4"" NIKON NON AI NIKKOR-H Auto 300mm f/4.5 1:4.5 Non-Ai Lens Japan",https://www.ebay.com/itm/EXCELLENT-4-NIKON-NON-AI-NIKKOR-H-Auto-300mm-f-4-5-1-4-5-Non-Ai-Lens-Japan-/133146276919,112.96,USD,JP,3323,Lenses,StoreInventory,Used,
1056,13,,nikon af nikkor,283564515940,"Nikon AF Nikkor 35-70mm F2.8 D Lens ** No Sepration, No haze ** #EL4107",https://www.ebay.com/itm/Nikon-AF-Nikkor-35-70mm-F2-8-D-Lens-No-Sepration-No-haze-EL4107-/283564515940,242.99,USD,JP,3323,Lenses,StoreInventory,Used,
1057,17,,near mintnikon teleconverter,333127983093,【Near MINT】Nikon Teleconverter TC201 2X for Ai-S Lens F Mount from JAPAN #414253,https://www.ebay.com/itm/Near-MINT-Nikon-Teleconverter-TC201-2X-Ai-S-Lens-F-Mount-JAPAN-414253-/333127983093,39.99,USD,JP,3323,Lenses,StoreInventory,Used,
1058,18,,nikon dw3 waist,143368843249,"""Mint"" Nikon DW-3 Waist Level Finder For F3 From Japan #97",https://www.ebay.com/itm/Mint-Nikon-DW-3-Waist-Level-Finder-F3-Japan-97-/143368843249,99.99,USD,JP,167930,Viewfinders & Eyecups,StoreInventory,Used,
1059,19,,nikon ai nikkor,143336371781,"""Near Mint"" NIKON Ai NIKKOR 28mm F/2.8 Wide Angle MF Lens From Japan #55",https://www.ebay.com/itm/Near-Mint-NIKON-Ai-NIKKOR-28mm-F-2-8-Wide-Angle-MF-Lens-Japan-55-/143336371781,79.99,USD,JP,3323,Lenses,FixedPrice,Used,
1060,21,,nikon f mount,264452730087,【Mint】 SIGMA AF 50mm F/2.8 D MACRO EX Lens for Nikon F Mount From JAPAN #319,https://www.ebay.com/itm/Mint-SIGMA-AF-50mm-F-2-8-D-MACRO-EX-Lens-Nikon-F-Mount-JAPAN-319-/264452730087,119.9,USD,JP,3323,Lenses,StoreInventory,Used,
1061,23,,near mintnikon f4s,153626958710,(Near Mint)Nikon F4S MB-21 35mm SLR Film Camera Body From JAPAN ＃249,https://www.ebay.com/itm/Near-Mint-Nikon-F4S-MB-21-35mm-SLR-Film-Camera-Body-JAPAN-249-/153626958710,99.99,USD,JP,15230,Film Cameras,StoreInventory,Used,
1062,25,,nikon f100 35mm,312722126318,NEAR MINT Nikon F100 35mm Body Only Film Camera SLR Black From Japan,https://www.ebay.com/itm/NEAR-MINT-Nikon-F100-35mm-Body-Only-Film-Camera-SLR-Black-Japan-/312722126318,189.99,USD,JP,15230,Film Cameras,FixedPrice,Used,
1063,31,,nikon sb28 speedlight,303250282234,[Near Mint] Nikon SB-28 Speedlight Shoe Mount Flash SB28 From JAPAN #14,https://www.ebay.com/itm/Near-Mint-Nikon-SB-28-Speedlight-Shoe-Mount-Flash-SB28-JAPAN-14-/303250282234,49.99,USD,JP,48515,Flashes,FixedPrice,Used,
1064,32,,nikon genuine nylon,283570254561,[MINT] Nikon Genuine Nylon Semi Soft Camera Shoulder Bag from Japan k237,https://www.ebay.com/itm/MINT-Nikon-Genuine-Nylon-Semi-Soft-Camera-Shoulder-Bag-Japan-k237-/283570254561,9.99,USD,JP,107894,"Cases, Bags & Covers",StoreInventory,Used,
1065,33,,nikon fm3a 35mm,323893367830,[Almost MINT] Nikon FM3A 35mm SLR Film Camera + Ai-s 50mm f/1.4 Lens From Japan,https://www.ebay.com/itm/Almost-MINT-Nikon-FM3A-35mm-SLR-Film-Camera-Ai-s-50mm-f-1-4-Lens-Japan-/323893367830,799.99,USD,JP,15230,Film Cameras,StoreInventory,Used,
1066,34,,nikon afs 55300mm,273971104463,NIKON AF-S 55-300mm DX NIKKOR f/4.5-5.6 G ED VR [Exc+++] w/Hood [jkh],https://www.ebay.com/itm/NIKON-AF-S-55-300mm-DX-NIKKOR-f-4-5-5-6-G-ED-VR-Exc-w-Hood-jkh-/273971104463,187.99,USD,JP,3323,Lenses,StoreInventory,Used,
1067,35,,nikon 35ti boxed,143356000011,[TOP MINT] NIKON 35Ti Boxed Point & Shoot 35mm Film Camera,https://www.ebay.com/itm/TOP-MINT-NIKON-35Ti-Boxed-Point-Shoot-35mm-Film-Camera-/143356000011,780.0,USD,JP,15230,Film Cameras,StoreInventory,Used,
1068,37,,mintnikon nikkor ai,174017065389,【MINT】Nikon Nikkor Ai 135mm f/2.8 Manual Focus Telephoto Lens From Japan #190984,https://www.ebay.com/itm/MINT-Nikon-Nikkor-Ai-135mm-f-2-8-Manual-Focus-Telephoto-Lens-Japan-190984-/174017065389,169.99,USD,JP,3323,Lenses,StoreInventory,Used,
1069,38,,nikon speedlight sb24,173846048917,【MINT】 Nikon Speedlight SB-24 Shoe Mount Flash For Nikon Camera From JAPAN #7500,https://www.ebay.com/itm/MINT-Nikon-Speedlight-SB-24-Shoe-Mount-Flash-Nikon-Camera-JAPAN-7500-/173846048917,34.99,USD,JP,48515,Flashes,StoreInventory,Used,
1070,44,,nintnikon af nikkor,183803107242,【Nint】Nikon AF NIKKOR 50mm F1.4 Af Lens From Japan #231,https://www.ebay.com/itm/Nint-Nikon-AF-NIKKOR-50mm-F1-4-Af-Lens-Japan-231-/183803107242,139.99,USD,JP,3323,Lenses,StoreInventory,Used,
1071,45,,nikon af nikkor,153621347359,【 NEAR MINT+++ 】Nikon AF Nikkor 300mm f/4 ED Telephoto Lens From JAPAN 336829,https://www.ebay.com/itm/NEAR-MINT-Nikon-AF-Nikkor-300mm-f-4-ED-Telephoto-Lens-JAPAN-336829-/153621347359,329.99,USD,JP,3323,Lenses,StoreInventory,Used,
1072,48,,nikon f2 35mm,264451740632,Nikon F2 35mm SLR Film Camera Body Only  SN7609063,https://www.ebay.com/itm/Nikon-F2-35mm-SLR-Film-Camera-Body-Only-SN7609063-/264451740632,37.8,USD,JP,15230,Film Cameras,StoreInventory,Used,
1073,50,,nikon dw3 waist,254309245645,**Near MINT** Nikon DW-3 Waist Level Finder For F3 from JAPAN ＃119,https://www.ebay.com/itm/Near-MINT-Nikon-DW-3-Waist-Level-Finder-F3-JAPAN-119-/254309245645,64.94,USD,JP,167930,Viewfinders & Eyecups,StoreInventory,Used,
1074,51,,nikon md4 motor,312715669240,<EXC+4> Nikon MD-4 Motor Drive Nikon F3 F3HP Battery Grip SLR from JAPAN #0033,https://www.ebay.com/itm/EXC-4-Nikon-MD-4-Motor-Drive-Nikon-F3-F3HP-Battery-Grip-SLR-JAPAN-0033-/312715669240,23.88,USD,JP,29970,Motor Drives & Winders,StoreInventory,Used,
1075,52,,nikon af nikkor,283539747692,Very Good Nikon AF NIKKOR 80-200mm F2.8 AF Telephoto Zoom Lens From Japan,https://www.ebay.com/itm/Very-Good-Nikon-AF-NIKKOR-80-200mm-F2-8-AF-Telephoto-Zoom-Lens-Japan-/283539747692,148.0,USD,JP,3323,Lenses,FixedPrice,Used,
1076,54,,nikon f4s 35mm,174005586177,"""NEAR MINT"" Nikon F4S 35mm SLR Film w/ MB-21 JAPAN #190985",https://www.ebay.com/itm/NEAR-MINT-Nikon-F4S-35mm-SLR-Film-w-MB-21-JAPAN-190985-/174005586177,199.99,USD,JP,15230,Film Cameras,StoreInventory,Used,
1077,60,,nikon af teleconverter,153616561767,Nikon AF Teleconverter TC-16A 1.6X w/ Box from Japan [Near Mint] #8211A,https://www.ebay.com/itm/Nikon-AF-Teleconverter-TC-16A-1-6X-w-Box-Japan-Near-Mint-8211A-/153616561767,95.0,USD,JP,3323,Lenses,FixedPrice,Used,
1078,62,,nikon nikkor af,143226526894,[TESTED] Nikon Nikkor AF 28-200mm f3.5-5.6 D Zoom Lens from Tokyo JAPAN #322,https://www.ebay.com/itm/TESTED-Nikon-Nikkor-AF-28-200mm-f3-5-5-6-D-Zoom-Lens-Tokyo-JAPAN-322-/143226526894,119.99,USD,JP,3323,Lenses,StoreInventory,Used,
1079,65,,excnikon md12 mortor,254174262328,**Exc+++++**NIKON MD-12 Mortor Drive Winder FM FA FE FE2 FE3A from Japan #054,https://www.ebay.com/itm/Exc-NIKON-MD-12-Mortor-Drive-Winder-FM-FA-FE-FE2-FE3A-Japan-054-/254174262328,55.58,USD,JP,29970,Motor Drives & Winders,StoreInventory,Used,
1080,66,,nikon lens nikkorh,312692464981,●Near Mint Vintage Nikon LENS NIKKOR-H Auto 28mm f3.5 Non-Ai MF Wide from Japan●,https://www.ebay.com/itm/Near-Mint-Vintage-Nikon-LENS-NIKKOR-H-Auto-28mm-f3-5-Non-Ai-MF-Wide-Japan-/312692464981,49.9,USD,JP,3323,Lenses,FixedPrice,Used,
1081,67,,nikon md4 motor,254329724447,**Excellent** Nikon MD-4 Motor Drive for Nikon F3 F3HP F3THP from JAPAN#278,https://www.ebay.com/itm/Excellent-Nikon-MD-4-Motor-Drive-Nikon-F3-F3HP-F3THP-JAPAN-278-/254329724447,47.99,USD,JP,29970,Motor Drives & Winders,StoreInventory,Used,
1082,68,,nikon nikomat ft3,254339706859,Nikon Nikomat FT3 Silver Body SLR Film Camera Manual Focus From Japan Excellent+,https://www.ebay.com/itm/Nikon-Nikomat-FT3-Silver-Body-SLR-Film-Camera-Manual-Focus-Japan-Excellent-/254339706859,113.85,USD,JP,15230,Film Cameras,StoreInventory,Used,
1083,70,,nikon ais nikkor,153581710485,【 NEAR MINT+ 】Nikon Ai-S Nikkor 35mm f/2 Wide Angle MF Lens from Japan #299727,https://www.ebay.com/itm/NEAR-MINT-Nikon-Ai-S-Nikkor-35mm-f-2-Wide-Angle-MF-Lens-Japan-299727-/153581710485,199.0,USD,JP,3323,Lenses,StoreInventory,Used,
1084,71,,nikon ais nikkor,153615239267,【NEAR MINT】 Nikon Ai-s Nikkor 50mm f/1.8 Manual MF Pancake Lens from Japan 1764,https://www.ebay.com/itm/NEAR-MINT-Nikon-Ai-s-Nikkor-50mm-f-1-8-Manual-MF-Pancake-Lens-Japan-1764-/153615239267,159.99,USD,JP,3323,Lenses,StoreInventory,Used,
1085,78,,excellentnikon micro nikkor,173952934302,【Excellent+++】Nikon Micro Nikkor 55mm F/3.5 Ai Converted from JAPAN #15,https://www.ebay.com/itm/Excellent-Nikon-Micro-Nikkor-55mm-F-3-5-Ai-Converted-JAPAN-15-/173952934302,39.0,USD,JP,3323,Lenses,FixedPrice,Used,
1086,81,,excnikon nikkor ais,143370495428,【EXC+++++】Nikon Nikkor Ai-s 35-105mm f/3.5-4.5 Zoom MF Lens From Japan #432,https://www.ebay.com/itm/EXC-Nikon-Nikkor-Ai-s-35-105mm-f-3-5-4-5-Zoom-MF-Lens-Japan-432-/143370495428,49.99,USD,JP,3323,Lenses,StoreInventory,Used,
1087,82,,nikon f mount,133096165896,Tamron SP 500mm f/8 Reflex Manual Focus Lens for Nikon F Mount [Excellent+++],https://www.ebay.com/itm/Tamron-SP-500mm-f-8-Reflex-Manual-Focus-Lens-Nikon-F-Mount-Excellent-/133096165896,180.0,USD,JP,3323,Lenses,StoreInventory,Used,
1088,87,,nikon lens front,303103953225,"""NEAR MINT"" Vintage Nikkor Nippon Kogaku 52mm Nikon Lens Front Cap Japan #428",https://www.ebay.com/itm/NEAR-MINT-Vintage-Nikkor-Nippon-Kogaku-52mm-Nikon-Lens-Front-Cap-Japan-428-/303103953225,38.0,USD,JP,79001,Lens Caps,StoreInventory,Used,
1089,94,,exellentnikon zoomnikkor 35135mm,183855810310,【Exellent】Nikon Zoom-NIKKOR 35-135mm f/3.5-4.5 Ai-S AIS MF Lens From Japan,https://www.ebay.com/itm/Exellent-Nikon-Zoom-NIKKOR-35-135mm-f-3-5-4-5-Ai-S-AIS-MF-Lens-Japan-/183855810310,32.99,USD,JP,3323,Lenses,FixedPrice,Used,
1090,97,,nikon a2 72,401828403513,[EXC++++] Nikon A2 72 mm Lens Filter w/ Nikon CP-5 Case From Japan #1039,https://www.ebay.com/itm/EXC-Nikon-A2-72-mm-Lens-Filter-w-Nikon-CP-5-Case-Japan-1039-/401828403513,16.99,USD,JP,15216,Filters,FixedPrice,Used,
1091,99,,nikon nikkor 85mm,143365317389,Nikon Nikkor 85mm F/1.4 Ais Lens #22976 A5,https://www.ebay.com/itm/Nikon-Nikkor-85mm-F-1-4-Ais-Lens-22976-A5-/143365317389,501.3,USD,JP,3323,Lenses,FixedPrice,Used,
1092,0,,nikon a2 72,401828403513,[EXC++++] Nikon A2 72 mm Lens Filter w/ Nikon CP-5 Case From Japan #1039,https://www.ebay.com/itm/EXC-Nikon-A2-72-mm-Lens-Filter-w-Nikon-CP-5-Case-Japan-1039-/401828403513,16.99,USD,JP,15216,Filters,FixedPrice,Used,
1093,2,,nikon nikkor 85mm,143365317389,Nikon Nikkor 85mm F/1.4 Ais Lens #22976 A5,https://www.ebay.com/itm/Nikon-Nikkor-85mm-F-1-4-Ais-Lens-22976-A5-/143365317389,501.3,USD,JP,3323,Lenses,FixedPrice,Used,
1094,10,,nikon nikkorsc auto,283602105968,AS-IS NIKON Nikkor-S.C Auto 55mm F1.2 MF Prime Lens From Japan,https://www.ebay.com/itm/AS-IS-NIKON-Nikkor-S-C-Auto-55mm-F1-2-MF-Prime-Lens-Japan-/283602105968,128.0,USD,JP,3323,Lenses,FixedPrice,Used,
1095,14,,nikon af nikkor,173989469999,[Near Mint+++] Nikon AF NIKKOR 24-50mm f/3.3-4.5 Zoom Lens From Japan #960,https://www.ebay.com/itm/Near-Mint-Nikon-AF-NIKKOR-24-50mm-f-3-3-4-5-Zoom-Lens-Japan-960-/173989469999,79.99,USD,JP,3323,Lenses,StoreInventory,Used,
1096,22,,nikon motor drive,173843706978,[AS IS] NIKON MOTOR DRIVE MD-4 Grip for F3 w/ AH-3 Base From Japan #632,https://www.ebay.com/itm/AS-IS-NIKON-MOTOR-DRIVE-MD-4-Grip-F3-w-AH-3-Base-Japan-632-/173843706978,79.99,USD,JP,29970,Motor Drives & Winders,StoreInventory,Used,
1097,24,,nikon fm2n silver,264366832607,"""NearMINT++ in BOX "" Nikon FM2N Silver SLR 35mm Film Camera From Japan #4988",https://www.ebay.com/itm/NearMINT-BOX-Nikon-FM2N-Silver-SLR-35mm-Film-Camera-Japan-4988-/264366832607,429.0,USD,JP,15230,Film Cameras,StoreInventory,Used,
1098,28,,nikon nikkorp auto,183926580766,[Exc] Nikon Nikkor-P Auto 105mm f/2.5 MF Lens from Japan,https://www.ebay.com/itm/Exc-Nikon-Nikkor-P-Auto-105mm-f-2-5-MF-Lens-Japan-/183926580766,89.8,USD,JP,3323,Lenses,StoreInventory,Used,
1099,34,,nikon from japan,401848930698,【Near Mint】Nikon Speedlight SB-26 Shoe Mount Flash for  Nikon From japan #49,https://www.ebay.com/itm/Near-Mint-Nikon-Speedlight-SB-26-Shoe-Mount-Flash-Nikon-japan-49-/401848930698,50.99,USD,JP,48515,Flashes,FixedPrice,Used,
1100,38,,excnikon nikkorq auto,173846456972,【EXC+++++】Nikon Nikkor-Q Auto Non-Ai 200mm f/4 Telephoto MF Lens From Japan 1126,https://www.ebay.com/itm/EXC-Nikon-Nikkor-Q-Auto-Non-Ai-200mm-f-4-Telephoto-MF-Lens-Japan-1126-/173846456972,39.99,USD,JP,3323,Lenses,StoreInventory,Used,
1101,41,,nikon ar1 soft,133156079484,[Near Mint] Nikon AR-1 Soft Shutter Release for F F2 FE FM Ftn from JAPAN,https://www.ebay.com/itm/Near-Mint-Nikon-AR-1-Soft-Shutter-Release-F-F2-FE-FM-Ftn-JAPAN-/133156079484,22.99,USD,JP,64345,Remotes & Shutter Releases,StoreInventory,Used,
1102,48,,nikon nikkornc auto,143371576133,Nikon Nikkor-N.C Auto 24mm F/2.8 Lens #23543 G1,https://www.ebay.com/itm/Nikon-Nikkor-N-C-Auto-24mm-F-2-8-Lens-23543-G1-/143371576133,80.0,USD,JP,3323,Lenses,FixedPrice,Used,
1103,54,,nikon afs teleconverter,392339460329,[Near MINT] Nikon AF-S Teleconverter TC-14E II lens From Japan #1057,https://www.ebay.com/itm/Near-MINT-Nikon-AF-S-Teleconverter-TC-14E-II-lens-Japan-1057-/392339460329,257.9,USD,JP,3323,Lenses,FixedPrice,Used,
1104,55,,nikon zoomnikkor 3570mm,264452292981,* Exc++++ * Nikon Zoom-Nikkor 35-70mm F3.3-4.5 Ai-S Zoom Lens from Japan,https://www.ebay.com/itm/Exc-Nikon-Zoom-Nikkor-35-70mm-F3-3-4-5-Ai-S-Zoom-Lens-Japan-/264452292981,44.9,USD,JP,3323,Lenses,FixedPrice,Used,
