id,type
2023,6
2347,20
1599,35
883,20
2270,10
1110,10
1708,20
218,10
1913,10
237,10
1675,12
649,10
1916,20
1702,20
810,20
298,20
802,35
1398,8
1525,35
1204,20
1565,10
486,10
1652,10
464,10
620,10
247,10
1748,20
2045,20
1477,20
986,35
410,10
96,32
1743,19
387,20
2184,20
1957,20
1626,10
829,20
1945,13
2311,20
1387,17
1436,6
1719,20
56,20
111,10
742,20
879,10
544,6
252,10
1309,4
407,20
1670,10
1770,20
2282,20
508,20
2132,20
2220,10
482,20
1690,20
44,20
178,20
1767,20
2145,20
1775,19
2275,20
693,10
1211,14
1226,20
1221,10
787,20
617,10
651,20
282,10
1029,20
438,20
965,35
188,10
2382,6
93,20
435,10
173,20
1189,20
1963,20
1637,1
1151,10
906,20
2387,20
836,10
1598,10
2005,20
1193,10
2203,20
1594,10
1288,6
978,20
1717,20
694,10
1951,20
1251,6
1044,20
2013,20
764,20
450,20
1858,20
1614,18
654,20
999,20
1036,10
979,20
443,20
1809,20
1179,20
2453,10
485,10
1900,20
1618,10
1755,20
530,10
1075,10
1116,10
2303,20
2406,20
134,10
246,20
472,20
2100,20
433,20
1278,20
1831,20
1847,20
1560,35
845,20
2428,20
2245,20
1533,10
2334,20
1222,10
1057,20
532,20
406,20
2109,20
1375,20
2166,20
2207,20
1078,20
869,10
522,20
565,10
874,10
647,20
1619,20
1984,20
1165,20
993,20
2147,20
1127,20
2129,20
1544,14
259,10
1908,20
1800,20
210,10
1958,20
1562,32
790,20
668,20
1867,20
1194,10
1876,20
2314,10
2140,20
254,10
1887,20
903,10
2430,10
1025,4
744,1
2352,20
100,20
1419,35
2063,20
1644,6
170,10
1978,10
1575,35
2216,20
233,10
1838,20
2125,6
964,10
179,20
353,20
1576,35
509,20
495,20
296,20
2089,20
1033,10
2149,20
1845,20
611,20
841,10
1325,10
2060,20
1055,17
1285,20
422,20
1999,20
2193,10
629,10
610,20
430,10
1956,20
440,10
1774,20
1972,6
1621,35
1295,20
2096,20
1430,10
2272,20
1090,10
1377,14
251,10
1047,35
1891,20
211,10
786,20
1499,10
2069,20
973,10
432,10
2323,10
239,20
1624,6
613,10
1886,20
2461,10
1161,20
1146,32
1322,35
886,20
414,10
1083,30
196,10
621,10
1558,1
43,20
2427,20
518,10
1050,20
29,20
581,10
1249,35
1530,10
208,20
1281,32
1927,20
1289,20
1511,10
998,20
1875,6
1572,10
1292,20
199,10
229,10
1234,10
1378,20
2388,20
2151,20
1456,20
1159,20
1552,20
859,20
1557,9
69,10
1228,4
643,10
318,10
582,10
2102,20
2310,20
1805,20
521,10
2436,20
1846,20
2075,20
1640,20
324,20
2057,20
279,10
1010,20
321,20
2173,20
1128,20
727,20
420,20
361,10
605,20
1444,14
2231,20
367,20
1453,9
2167,20
838,20
974,10
2265,20
1337,10
149,10
2242,20
507,20
1935,19
1995,20
479,20
2457,24
618,10
480,10
1382,35
163,10
2172,10
1334,20
1909,20
2373,20
1711,20
1220,10
332,20
49,20
67,10
408,20
1177,17
48,20
695,20
2168,8
729,20
1535,10
124,20
564,10
1451,6
1043,20
1364,10
1924,20
1054,35
2371,20
755,20
1521,35
736,20
1366,20
1509,10
1123,20
637,20
881,20
923,20
2154,20
1027,20
240,10
2260,20
70,10
707,20
1389,20
73,10
1124,13
350,6
2254,20
1539,10
1732,20
478,10
2422,20
1061,20
602,10
1423,10
157,10
1395,30
1983,10
498,20
765,20
1877,20
2077,20
798,20
759,10
51,20
1833,20
461,6
554,6
1684,20
2104,20
1370,10
1546,14
1811,6
1216,20
1352,35
1864,20
291,10
1662,20
944,12
678,20
497,20
741,20
1018,20
1503,32
2372,20
1094,10
1241,17
856,20
342,10
1673,10
1017,20
1401,35
299,20
2007,20
2043,20
2415,20
1694,20
916,20
1135,10
220,20
1080,20
2419,10
809,35
1355,35
2393,20
84,20
1299,20
1993,20
1247,10
109,20
354,20
1600,35
1893,20
1449,20
290,20
1455,10
1293,35
416,10
636,10
1085,35
402,20
1769,20
1483,10
756,10
1223,10
2383,10
990,20
212,10
1237,10
705,10
1258,10
2401,20
2454,17
1465,20
1268,10
2015,6
1622,10
2225,20
831,20
18,20
1885,20
1450,20
2259,20
931,14
2274,20
839,10
1834,20
632,20
76,10
1351,20
471,10
2127,14
1965,20
969,10
168,10
1475,10
2048,20
1307,6
1001,20
1185,2
1798,20
219,10
445,20
1556,10
1669,18
1405,20
303,10
1677,10
141,10
463,10
575,20
650,20
1380,10
915,20
1779,20
1374,8
940,20
942,20
