,model,primaryCategory.categoryId,Unnamed: 0,JP_shortTitle,itemId,currentPrice,TotalCounts
311,Nikon Nikkor Ai-s Ais 85mm f2,3323,93.0,,323903477538.0,199.9,38.0
312,Nikon Nikkor M 300mm F/9,3323,41.0,,264457786614.0,459.99,21.0
313,Nikon Nikkor M 300mm f/9,3323,67.0,,223458212050.0,549.9,21.0
314,Nikon Nikkor P Auto 105mm F/2.5,3323,11.0,,143354588843.0,139.9,78.0
315,Nikon Nikkor P.C 200mm f/4,3323,10.0,,133137341201.0,85.4,2.0
316,Nikon Nikkor SW 75mm F4.5 S,3323,48.0,,153421025574.0,399.9,6.0
317,Nikon Nikkor UD Auto 20mm f/3.5,3323,64.0,,283579729204.0,190.0,13.0
318,Nikon Nikkor W 300mm F/5.6,3323,22.0,,113807554513.0,549.99,17.0
319,Nikon Nikkor-N Auto 24mm F2.8 Non-Ai,3323,33.0,,323885325967.0,119.0,30.0
320,Nikon Nikkor-N C Auto,3323,35.0,,254351638223.0,109.9,15.0
321,Nikon Nikkor-P Auto 105mm F2.5 Non-Ai,3323,67.0,,323883650485.0,145.0,45.0
322,Nikon Nikkor-Q Auto,3323,3.0,,123890296473.0,39.99,111.0
323,Nikon Nikkor-Q Auto 200mm f/4,3323,76.0,,163857465718.0,12.6,29.0
324,Nikon Nikkor-Q.C Auto,3323,65.0,,193094394778.0,64.99,20.0
325,Nikon Nikkor-W 180mm f/5.6 Copal Shutter,3323,12.0,,173853521611.0,92.99,6.0
326,Nikon Nikkormat FT,15230,84.0,,192868571069.0,19.0,121.0
327,Nikon Nikomat FT2,15230,35.0,,143256818160.0,19.9,29.0
328,Nikon Nikonos IV-A,15230,18.0,,383072687238.0,99.9,32.0
329,Nikon Nikonos Sync Cable,15230,88.0,,163842618094.0,17.1,2.0
330,Nikon Nikonos V,15230,46.666666666666664,,240545421206.83334,271.47499999999997,181.0
331,Nikon Nikonos V Olive,15230,68.0,,273992364366.0,210.0,22.0
332,Nikon Nikonos V Underwater Camera,15230,61.0,,283609099822.0,269.9,112.0
333,Nikon Nikonos-V,15230,72.0,,123814092391.0,199.99,165.0
334,Nikon Non Ai Nikkor 135mm f/3.5,3323,0.0,,113829722990.0,44.9,32.0
335,Nikon Non Ai Nikkor 50mm F1.4,3323,42.0,,352760502807.0,65.99,302.5
336,Nikon Non-ai NIKKOR 50mm F/2,3323,85.0,,303238640537.0,49.99,120.0
337,Nikon P.C Auto,3323,30.0,,401852114645.0,145.0,39.0
338,Nikon P510,31388,89.0,,312755614066.0,123.0,48.0
339,Nikon PC NIKKOR Auto 400mm F/5.6,3323,79.0,,133168081344.0,380.0,1.0
340,Nikon PK-11A PK-12 PK-13,30059,57.0,,312758250970.0,65.9,3.0
341,Nikon PK-12,30059,7.0,,283519873361.0,32.8,22.0
342,Nikon R10,4689,86.0,,401872772321.0,349.9,16.0
343,Nikon RD2,15230,25.0,,143302018306.0,49.9,4.0
