,model,primaryCategory.categoryId,Unnamed: 0,JP_shortTitle,itemId,currentPrice,TotalCounts
159,Nikon AF Nikkor 35-70mm F2.8,3323,19.0,,264446665807.0,114.28,137.0
160,Nikon AF Nikkor 35-70mm f/3.3-4.5,3323,37.5,,163850434827.0,29.85,100.0
161,Nikon AF Nikkor 35-70mm f/3.3-4.5 Ai-S,3323,47.0,,174023889077.0,33.0,3.0
162,Nikon AF Nikkor 35mm F/2,3323,40.0,,293226833594.0,199.0,124.0
163,Nikon AF Nikkor 50mm f/1.4,3323,22.0,,133143150056.0,148.0,265.0
164,Nikon AF Nikkor 70-210mm,3323,3.0,,383068813456.0,59.0,174.0
165,Nikon AF Nikkor 80-200mm f/4.5-5.6D,3323,41.0,,183900837183.0,39.8,12.0
166,Nikon AF Nikkor Micro 105mm f/2.8 D,3323,25.0,,283610248671.0,203.15,111.0
167,Nikon AF ZOOM NIKKOR ED 80-200mm F2.8,3323,40.0,,133162518949.0,189.99,210.0
168,Nikon AF Zoom Nikkor 28-70mm f/3.5-4.5 D,3323,98.0,,113774937446.0,89.8,32.0
169,Nikon AF Zoom Nikkor 35-70mm F/2.8,3323,86.0,,174006294846.0,119.99,114.0
170,Nikon AF-S,3323,12.0,,254324586639.0,110.0,5828.0
171,Nikon AF-S DX Nikkor 18-200mm f/3.5-5.6 G ED VR,3323,57.0,,153630811393.0,189.99,139.0
172,Nikon AF-S NIKKOR 24-85mm F3.5-4.5G ED,3323,59.0,,323839817578.0,189.99,68.0
173,Nikon AF-S Nikkor 24-120mm F/3.5-5.6 G ED VR,3323,78.0,,153612257646.0,170.05,37.0
174,Nikon AF600,15230,76.0,,113876081636.0,159.9,55.0
175,Nikon AF600 QD,15230,77.0,,264453084516.0,149.0,23.0
176,Nikon AI Nikkor,3323,18.0,,401863578879.0,79.99,4295.0
177,Nikon AIS 50mm f1.2,3323,79.0,,273994465786.0,406.93,113.0
178,Nikon AS-F DX NIKKOR,3323,13.5,,224160563406.5,138.0,10.0
179,Nikon Ai -s NIKKOR 28mm f/2.8,3323,29.0,,383146461584.0,139.0,69.0
180,Nikon Ai NIKKOR 28mm f/2.8,3323,12.0,,293224542112.0,99.99,209.0
181,Nikon Ai NIKKOR 28mm f3.5,3323,37.0,,283517900059.0,79.99,126.0
182,Nikon Ai NIKKOR 300mm f4.5 MF Telephoto Lens,3323,72.0,,303139955607.0,84.0,29.0
183,Nikon Ai Nikkor 135mm F/2.8,3323,29.0,,223456210397.0,169.99,216.0
184,Nikon Ai Nikkor 135mm f/2.8,3323,83.0,,383135975339.0,219.99,216.0
185,Nikon Ai Nikkor 24mm f/2.8,3323,79.0,,163855602353.0,112.5,166.0
186,Nikon Ai Nikkor 28mm f/2.8,3323,74.0,,333311452786.0,75.0,209.0
187,Nikon Ai Nikkor 35mm F2.8,3323,11.0,,202775009525.0,119.99,157.0
188,Nikon Ai Nikkor 35mm f/2,3323,55.0,,113882108606.0,119.99,157.0
189,Nikon Ai Nikkor 50mm F/1.8,3323,5.0,,283569323531.0,69.9,298.0
190,Nikon Ai Nikkor 50mm F1.4,3323,51.5,,263295047692.5,109.495,581.5
191,Nikon Ai Nikkor 50mm f/1.8 MF Lens,3323,67.5,,293177089034.0,59.99,121.0
192,Nikon Ai Nikkor f2,3323,19.0,,264455383734.0,169.9,576.0
193,Nikon Ai Nikkor-Q Auto 135mm f/2.8,3323,20.0,,383131022905.0,99.0,39.0
194,Nikon Ai Zoom Nikkor 35-70mm f/3.5,3323,69.0,,273024220105.5,114.99,62.0
195,Nikon Ai Zoom Nikkor 43-86mm f/3.5,3323,93.0,,163840576944.0,10.8,51.0
196,Nikon Ai Zoom Nikkor 80-200mm f/4.5,3323,71.0,,163844204027.0,14.4,62.0
197,Nikon Ai-S Fisheye Nikkor 16mm F/2.8 MF AiS Lens,3323,44.0,,333310916707.0,449.99,3.0
198,Nikon Ai-S Nikkor 105mm F/1.8,3323,17.0,,183948531951.0,419.9,33.0
199,Nikon Ai-S Nikkor 105mm f/2.5,3323,60.0,,333323298250.0,160.0,67.0
200,Nikon Ai-S Nikkor 24mm F2.8,3323,6.0,,264457795702.0,179.99,59.0
201,Nikon Ai-S Zoom NIkkor 35-105mm f/3.5-4.5,3323,9.0,,333282002855.0,55.99,51.0
202,Nikon Ai-S Zoom Nikkor 80-200mm f4,3323,18.0,,352786832577.0,39.0,44.0
203,Nikon Ai-s,3323,57.0,,233324720169.0,177.7,2621.0
204,Nikon Ai-s 105mm F/1.8,3323,26.0,,293213296590.0,499.9,34.0
205,Nikon Ai-s Micro Nikkor 105mm f/2.8,3323,93.0,,133171504189.0,219.9,47.0
206,Nikon Ai-s NIKKOR 35mm f/2.8,3323,11.0,,233181142468.0,159.99,42.0
207,Nikon Ai-s NIKKOR 50mm F1.8,3323,95.0,,383133571994.0,139.99,243.0
208,Nikon Ai-s Nikkor 28mm f/2.8,3323,28.0,,366085178786.3333,126.65666666666668,130.0
209,Nikon Ai-s Nikkor 35mm f/2.8,3323,55.5,,283584203705.0,119.99,42.0
210,Nikon Ai-s Nikkor 50mm F/1.4,3323,31.0,,352789797577.0,139.0,137.0
211,Nikon Ai-s Nikkor 50mm F/1.8,3323,18.0,,223580433205.0,116.9,243.0
212,Nikon Ai-s Nikkor 85mm f/1.4,3323,6.0,,113868432581.0,519.99,46.0
213,Nikon BR-3 Macro Adapter Ring,30059,67.0,,183950066830.0,9.98,7.0
214,Nikon COOLPIX P90 24x,31388,24.0,,143379145947.0,88.8,24.0
215,Nikon Cine NIKKOR 25mm f/1.4,3323,86.0,,303268258292.0,379.0,1.0
216,Nikon D700,31388,52.5,,303744697562.5,554.395,369.0
217,Nikon D7000,31388,30.0,,333327660462.0,225.0,520.0
218,Nikon D=60 P Fieldscope,31715,91.0,,254343280570.0,205.99,4.0
219,Nikon DP-1 Photomic Finder,167930,18.5,,308237724038.5,89.99,49.0
220,Nikon DP12,167930,79.0,,303103130060.0,394.0,29.0
221,Nikon DW-1,167930,13.0,,283558414900.0,119.99,13.0
222,Nikon DW-3,167930,83.0,,153636353943.0,59.9,54.0
223,Nikon DX AF-S Nikkor 18-55mm F3.5-5.6 G,3323,66.0,,383117918844.0,38.0,284.0
224,Nikon Df,31388,72.0,,273939164265.0,99.0,278.0
225,Nikon EL,15230,8.0,,283613050263.0,59.9,717.0
226,Nikon EL-NIKKOR,3323,70.0,,153629145163.0,59.99,174.0
227,Nikon EL2,15230,79.0,,223455715510.0,174.99,22.0
228,Nikon EM,15230,12.0,,333322041713.0,149.0,332.0
229,Nikon F,3323,69.0,,202755195507.0,75.0,24537.0
230,Nikon F,15230,64.2,,273258651892.9,181.565,24550.6
231,Nikon F Waist Level Finder,167930,92.0,,223663938160.0,92.99,109.0
232,Nikon F series Semi Soft CASE of Camera,107894,39.0,,223651700696.0,84.99,1.0
233,Nikon F-801,15230,68.0,,303242336394.0,59.99,39.0
234,Nikon F100,15230,50.142857142857146,,333214889705.2857,224.35571428571433,383.0
235,Nikon F2,3323,15.0,,383145156740.0,209.99,2601.0
