,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition
1,,Nikon Back Door Nikon F100 SN525,264485728334,Nikon Back Door for Nikon F100 SN525  **Excellent+**,https://www.ebay.com/itm/Nikon-Back-Door-Nikon-F100-SN525-Excellent-/264485728334,72.5,USD,JP,29973,Film Backs & Holders,StoreInventory,Used
3,,Mint Canon EOS Neck Strap Japan FS,283546207171,(Mint) Canon EOS Neck Strap from Japan  F/S,https://www.ebay.com/itm/Mint-Canon-EOS-Neck-Strap-Japan-F-S-/283546207171,7.0,USD,JP,64343,Straps & Hand Grips,FixedPrice,Used
4,,Nikon AiS Nikkor 50 mm AIS Pancake MF Prime Lens Mint Box Japan,153573197142,Nikon Ai-S Nikkor 50mm f/1.8 AIS Pancake MF Prime Lens [Mint in Box] From Japan,https://www.ebay.com/itm/Nikon-Ai-S-Nikkor-50mm-f-1-8-AIS-Pancake-MF-Prime-Lens-Mint-Box-Japan-/153573197142,199.99,USD,JP,3323,Lenses,StoreInventory,Used
19,,Nikon F2 35 mm SLR Film Camera Body,223668443653,Nikon F2 35mm SLR Film Camera Body Only SN7406183,https://www.ebay.com/itm/Nikon-F2-35mm-SLR-Film-Camera-Body-Only-SN7406183-/223668443653,51.8,USD,JP,15230,Film Cameras,StoreInventory,Used
20,,Nikon DP1 Photomic Finder Nikon F2,264476753414,Nikon DP-1 Photomic Finder for Nikon F2  SN416407,https://www.ebay.com/itm/Nikon-DP-1-Photomic-Finder-Nikon-F2-SN416407-/264476753414,35.8,USD,JP,167930,Viewfinders & Eyecups,StoreInventory,Used
21,,Nikon NIKKOR Ai 35 mm f28 Condition 1714,303148114052,Nikon NIKKOR Ai 35mm f/2.8 Very Good Condition #1714,https://www.ebay.com/itm/Nikon-NIKKOR-Ai-35mm-f-2-8-Very-Good-Condition-1714-/303148114052,90.0,USD,JP,3323,Lenses,StoreInventory,Used
27,,nippon kogaku nikkorp 200 mm mf lens bronica bronica s2 s ec 2785,323794601418,nikon nippon kogaku nikkor-p f/4 200mm mf lens for bronica bronica s2 s ec  2785,https://www.ebay.com/itm/nikon-nippon-kogaku-nikkor-p-f-4-200mm-mf-lens-bronica-bronica-s2-s-ec-2785-/323794601418,138.8,USD,JP,3323,Lenses,StoreInventory,Used
28,,Nikon FA 35 mm SLR Film Camera Black Body Excellent Japan Tested,264477545168,Nikon FA 35mm SLR Film Camera Black Body Excellent++ from Japan Tested,https://www.ebay.com/itm/Nikon-FA-35mm-SLR-Film-Camera-Black-Body-Excellent-Japan-Tested-/264477545168,129.0,USD,JP,15230,Film Cameras,StoreInventory,Used
30,,NEAR MINT Nikon F4 35 mm SLR Film Camera Body JAPAN 689,254371027480,[ NEAR MINT ] Nikon F4 35mm SLR Film Camera Body Only from JAPAN #689,https://www.ebay.com/itm/NEAR-MINT-Nikon-F4-35mm-SLR-Film-Camera-Body-Only-JAPAN-689-/254371027480,65.99,USD,JP,15230,Film Cameras,StoreInventory,Used
31,,Nikon SB22 Speedlight Shoe Mount Flash Japan,163884199920,[Excellent+++] Nikon SB-22 Speedlight Shoe Mount Flash From Japan,https://www.ebay.com/itm/Excellent-Nikon-SB-22-Speedlight-Shoe-Mount-Flash-Japan-/163884199920,6.3,USD,JP,48515,Flashes,StoreInventory,Used
37,,Nikon NIKKORH Auto 28 mm F35 NonAi Wide angle Prime Lens EXC,133162556705,"Nikon NIKKOR-H Auto 28mm F3.5 Non-Ai Wide angle Prime Lens ""EXC++"" TESTED482256",https://www.ebay.com/itm/Nikon-NIKKOR-H-Auto-28mm-F3-5-Non-Ai-Wide-angle-Prime-Lens-EXC-TESTED482256-/133162556705,39.99,USD,JP,3323,Lenses,StoreInventory,Used
38,,NEAR MINT Nikon Nikkor AiS 50 mm AIS MF Lens 35 mm SLR Japan,372788201432,NEAR MINT Nikon Nikkor Ai-S 50mm f/1.4 AIS MF Lens for 35mm SLR From Japan,https://www.ebay.com/itm/NEAR-MINT-Nikon-Nikkor-Ai-S-50mm-f-1-4-AIS-MF-Lens-35mm-SLR-Japan-/372788201432,139.99,USD,JP,3323,Lenses,FixedPrice,Used
46,,Nikon FM3A 35 mm SLR Film Camera Black Body Japan 201,133176941736,Excellent+ Nikon FM3A 35mm SLR Film Camera Black Body Only from Japan  #201,https://www.ebay.com/itm/Excellent-Nikon-FM3A-35mm-SLR-Film-Camera-Black-Body-Only-Japan-201-/133176941736,499.0,USD,JP,15230,Film Cameras,StoreInventory,Used
48,,EXC Nikon Nikkor Ais 3570 mm f35 AIS MF Zoom Lens Japan 190484P,173987405493,【EXC+++++】 Nikon Nikkor Ai-s 35-70mm f/3.5 AIS MF Zoom Lens From Japan #190484-P,https://www.ebay.com/itm/EXC-Nikon-Nikkor-Ai-s-35-70mm-f-3-5-AIS-MF-Zoom-Lens-Japan-190484-P-/173987405493,119.99,USD,JP,3323,Lenses,StoreInventory,Used
53,,Mint Nikon F100 35 mm SLR Film Camera Black Body JAPAN,362770617621,[Mint] Nikon F100 35mm SLR Film Camera Black Body SN:2194xxx From JAPAN,https://www.ebay.com/itm/Mint-Nikon-F100-35mm-SLR-Film-Camera-Black-Body-SN-2194xxx-JAPAN-/362770617621,199.99,USD,JP,15230,Film Cameras,StoreInventory,Used
55,,Nikon F401x 35 mm Film Camera Body Excellent Tokyo Japan Free Ship 3977,153645409153,Nikon F-401x 35mm Film Camera Body Excellent++ From Tokyo Japan Free Ship #3977,https://www.ebay.com/itm/Nikon-F-401x-35mm-Film-Camera-Body-Excellent-Tokyo-Japan-Free-Ship-3977-/153645409153,28.4,USD,JP,15230,Film Cameras,StoreInventory,Used
56,,Near MINTNikon Zoom NIKKOR AiS 200600 mm F95 Lens Japan 549,233355220881,【Near MINT】Nikon Zoom NIKKOR Ai-S 200-600mm F9.5 Very Rare Lens from Japan 549,https://www.ebay.com/itm/Near-MINT-Nikon-Zoom-NIKKOR-Ai-S-200-600mm-F9-5-Very-Rare-Lens-Japan-549-/233355220881,487.03,USD,JP,3323,Lenses,StoreInventory,Used
63,,Nikon F3 Eye Level 35 mm SLR Film Camera Body Motor Drive MD4 Excellent 32,362715835043,Nikon F3 Eye Level 35mm SLR Film Camera Body  Motor Drive MD-4  Excellent.  #32,https://www.ebay.com/itm/Nikon-F3-Eye-Level-35mm-SLR-Film-Camera-Body-Motor-Drive-MD-4-Excellent-32-/362715835043,260.0,USD,JP,15230,Film Cameras,FixedPrice,Used
71,,Case Nikon 35Ti Compact 35 mm Film Camera Point Shoot JAPAN 248,143397131706,【Excellent+++ in Case】 Nikon 35Ti Compact 35mm Film Camera Point Shoot JAPAN 248,https://www.ebay.com/itm/Excellent-Case-Nikon-35Ti-Compact-35mm-Film-Camera-Point-Shoot-JAPAN-248-/143397131706,499.9,USD,JP,15230,Film Cameras,StoreInventory,Used
78,,Nikon NIKKOR 28 mm f28 Manual Lens,254369050176,[Used] Nikon NIKKOR 28mm f/2.8 Manual Lens,https://www.ebay.com/itm/Used-Nikon-NIKKOR-28mm-f-2-8-Manual-Lens-/254369050176,79.0,USD,JP,3323,Lenses,FixedPrice,Used
84,,Nikon AF Micro Nikkor 105 mm F28 D Prime Lens Japan Near Mint 493351A,254367908013,Nikon AF Micro Nikkor 105mm F/2.8 D Prime Lens From Japan [Near Mint] #493351A,https://www.ebay.com/itm/Nikon-AF-Micro-Nikkor-105mm-F-2-8-D-Prime-Lens-Japan-Near-Mint-493351A-/254367908013,199.9,USD,JP,3323,Lenses,FixedPrice,Used
85,,Nikon AFS 50 mm F18 G AF Lens Special Edition version Hood 190919c,333340970181,Nikon AF-S NIKKOR 50mm F1.8G AF Lens Special Edition version w/ Hood #190919c,https://www.ebay.com/itm/Nikon-AF-S-NIKKOR-50mm-F1-8G-AF-Lens-Special-Edition-version-w-Hood-190919c-/333340970181,178.2,USD,JP,3323,Lenses,StoreInventory,Used
86,,Nikon NIKKORHC Auto 50 mm F2 NonAi Lens Excellent,254374627314,Nikon NIKKOR-H・C Auto 50mm F2 Non-Ai Lens SN2247966 **Excellent+**,https://www.ebay.com/itm/Nikon-NIKKOR-H-C-Auto-50mm-F2-Non-Ai-Lens-SN2247966-Excellent-/254374627314,39.8,USD,JP,3323,Lenses,StoreInventory,Used
92,,Nikon DW2 6x Magnifying Finder Nikon F2 SLR Japan Exc 457572,143308657927,Nikon DW-2 6x Magnifying Finder for Nikon F/2 SLR from Japan [Exc++] #457572,https://www.ebay.com/itm/Nikon-DW-2-6x-Magnifying-Finder-Nikon-F-2-SLR-Japan-Exc-457572-/143308657927,66.0,USD,JP,167930,Viewfinders & Eyecups,StoreInventory,Used
5,,Nikon Leather Camera Case CF1 Nikon F2,233349087968,Nikon Leather Camera Case  CF-1 for Nikon F2,https://www.ebay.com/itm/Nikon-Leather-Camera-Case-CF-1-Nikon-F2-/233349087968,28.5,USD,JP,29967,Battery Grips,FixedPrice,Used
10,,Nikon F100 35 mm SLR Film Camera Body SN2154541 Near Mint,254370570935,Nikon F100 35mm SLR Film Camera Body Only SN2154541 **Near Mint**,https://www.ebay.com/itm/Nikon-F100-35mm-SLR-Film-Camera-Body-Only-SN2154541-Near-Mint-/254370570935,151.8,USD,JP,15230,Film Cameras,StoreInventory,Used
17,,Mint Nikon FE 35 mm SLR Film Camera Black Body 820,193128647890,Near Mint Nikon FE 35mm SLR Film Camera Black Body #820,https://www.ebay.com/itm/Near-Mint-Nikon-FE-35mm-SLR-Film-Camera-Black-Body-820-/193128647890,89.0,USD,JP,15230,Film Cameras,StoreInventory,Used
23,,Mint Nikon Speedlight SB17 Flash TTL F3 F3HP wcase Japan 3,233313765248,[Near Mint] Nikon Speedlight SB-17 Flash TTL for F3 F3HP w/case from Japan #3,https://www.ebay.com/itm/Near-Mint-Nikon-Speedlight-SB-17-Flash-TTL-F3-F3HP-w-case-Japan-3-/233313765248,29.99,USD,JP,48515,Flashes,FixedPrice,Used
24,,Nikon F 35 mm SLR Film Camera Body Excellent,254376613022,Nikon F 35mm SLR Film Camera Body Only SN7043519  **Excellent++**,https://www.ebay.com/itm/Nikon-F-35mm-SLR-Film-Camera-Body-Only-SN7043519-Excellent-/254376613022,57.8,USD,JP,15230,Film Cameras,StoreInventory,Used
33,,N Mint Nikon L35 AD L35AD 35 mm Compact Used AF Film Camera f28 Strap,333317499582,[N Mint] Nikon L35 AD  L35AD 35mm Compact Used AF Film Camera f/2.8 Strap,https://www.ebay.com/itm/N-Mint-Nikon-L35-AD-L35AD-35mm-Compact-Used-AF-Film-Camera-f-2-8-Strap-/333317499582,157.99,USD,JP,15230,Film Cameras,StoreInventory,Used
38,,Nikon FM10 35 mm SLR Film Camera Body SN3007321,223681265399,Nikon FM10 35mm SLR Film Camera Body Only  SN3007321,https://www.ebay.com/itm/Nikon-FM10-35mm-SLR-Film-Camera-Body-Only-SN3007321-/223681265399,19.8,USD,JP,15230,Film Cameras,StoreInventory,Used
51,,Nikon NIKKORH Auto 50 mm F2 NonAi Lens SN1007645,323931855956,Nikon NIKKOR-H Auto 50mm F2 Non-Ai Lens SN1007645,https://www.ebay.com/itm/Nikon-NIKKOR-H-Auto-50mm-F2-Non-Ai-Lens-SN1007645-/323931855956,23.8,USD,JP,3323,Lenses,StoreInventory,Used
57,,EXC Nikon Nikkor AIS AIS 105 mm F25 F Mount SLR Japan 492,283622381894,【EXC+++++】 Nikon Nikkor AI-S AIS 105mm F/2.5 for F Mount SLR from Japan #492,https://www.ebay.com/itm/EXC-Nikon-Nikkor-AI-S-AIS-105mm-F-2-5-F-Mount-SLR-Japan-492-/283622381894,209.9,USD,JP,3323,Lenses,StoreInventory,Used
61,,Nikon AF NIKKOR 35 mm f2 Angle Prime Lens wCase Hood Japan 493677,362760839781,Nikon AF NIKKOR 35mm f/2 Wide Angle Prime Lens w/Case Hood from Japan 493677,https://www.ebay.com/itm/Nikon-AF-NIKKOR-35mm-f-2-Wide-Angle-Prime-Lens-w-Case-Hood-Japan-493677-/362760839781,171.84,USD,JP,3323,Lenses,StoreInventory,Used
77,,Mint Nikon Nikkor 105 mm 4 f4 Micro Ai Lens JAPAN 461,293235317125,【Near Mint】 Nikon Nikkor 105mm f 4 f/4 Micro Ai Lens From JAPAN #461,https://www.ebay.com/itm/Near-Mint-Nikon-Nikkor-105mm-f-4-f-4-Micro-Ai-Lens-JAPAN-461-/293235317125,99.9,USD,JP,3323,Lenses,StoreInventory,Used
82,,ExcNikon Ais 55 mm 128 FixedPrime Manual Lens Japan,303260925753,【Exc++++】Nikon Ai-s Micro-NIKKOR 55mm 1:2.8 Fixed/Prime Manual Lens Japan,https://www.ebay.com/itm/Exc-Nikon-Ai-s-Micro-NIKKOR-55mm-1-2-8-Fixed-Prime-Manual-Lens-Japan-/303260925753,109.0,USD,JP,3323,Lenses,StoreInventory,Used
86,,Tokina ATX Pro Macro 35 mm f28 DX Nikon Excellent Japan 4420,273934085152,Tokina AT-X Pro Macro 35mm f/2.8 DX  for Nikon [Excellent+++] From Japan [4420],https://www.ebay.com/itm/Tokina-AT-X-Pro-Macro-35mm-f-2-8-DX-Nikon-Excellent-Japan-4420-/273934085152,164.0,USD,JP,3323,Lenses,StoreInventory,Used
95,,Nikon F 35 mm SLR Film Camera Body SN6972534,254365954979,Nikon F 35mm SLR Film Camera Body Only  SN6972534,https://www.ebay.com/itm/Nikon-F-35mm-SLR-Film-Camera-Body-Only-SN6972534-/254365954979,33.8,USD,JP,15230,Film Cameras,StoreInventory,Used
4,,EXCTamron AF 28200 f3856 Nikon Japan,372767120539,EXC+++++Tamron AF 28-200 f3.8-5.6 aspherical for Nikon  from Japan.,https://www.ebay.com/itm/EXC-Tamron-AF-28-200-f3-8-5-6-aspherical-Nikon-Japan-/372767120539,29.95,USD,JP,3323,Lenses,StoreInventory,Used
10,,ExcellentNikon ZoomNIKKOR AIS 3570 mm f3345 AF AiS Lens Japan,312739119163,【Excellent+++++】Nikon Zoom-NIKKOR AI-S 35-70mm f/3.3-4.5 AF Ai-S Lens From Japan,https://www.ebay.com/itm/Excellent-Nikon-Zoom-NIKKOR-AI-S-35-70mm-f-3-3-4-5-AF-Ai-S-Lens-Japan-/312739119163,34.99,USD,JP,3323,Lenses,StoreInventory,Used
23,,Nikon F2 Photomic S F2s Body Black 35 mm SLR film Camera 641,202758629672,Excellent Nikon F2 Photomic S F2s Body Black 35mm SLR film Camera #641,https://www.ebay.com/itm/Excellent-Nikon-F2-Photomic-S-F2s-Body-Black-35mm-SLR-film-Camera-641-/202758629672,171.0,USD,JP,15230,Film Cameras,StoreInventory,Used
31,,Near MINTNikon Ai Nikkor 85 mm f2 SLR Prime MF Lens F mount Japan 111,183966356494,【Near MINT】Nikon Ai Nikkor 85mm f2 SLR Prime MF Lens F mount From Japan #111,https://www.ebay.com/itm/Near-MINT-Nikon-Ai-Nikkor-85mm-f2-SLR-Prime-MF-Lens-F-mount-Japan-111-/183966356494,179.99,USD,JP,3323,Lenses,StoreInventory,Used
37,,NearMINT Tamron SP 500 mm Mirror Lens Nikon FMount Japan T1481,143382696526,[NearMINT] Tamron SP 500mm f/8 Mirror Lens for Nikon FMount from Japan #T1481,https://www.ebay.com/itm/NearMINT-Tamron-SP-500mm-f-8-Mirror-Lens-Nikon-FMount-Japan-T1481-/143382696526,169.9,USD,JP,3323,Lenses,StoreInventory,Used
44,,Nikon Rubber Hood HR4 MF Nikkor 5018 Pancake Logo AsIs N46,123374658075,Nikon Rubber Hood HR-4 for MF Nikkor 50/1.8 Pancake old Logo As-Is [N-46],https://www.ebay.com/itm/Nikon-Rubber-Hood-HR-4-MF-Nikkor-50-1-8-Pancake-old-Logo-As-Is-N-46-/123374658075,25.0,USD,JP,78999,Lens Hoods,StoreInventory,Used
53,,Nikon NIKKORH Auto 50 mm F2 NonAi Lens,323935103387,Nikon NIKKOR-H Auto 50mm F2 Non-Ai Lens SN946438 **Excellent++**,https://www.ebay.com/itm/Nikon-NIKKOR-H-Auto-50mm-F2-Non-Ai-Lens-SN946438-Excellent-/323935103387,51.8,USD,JP,3323,Lenses,StoreInventory,Used
58,,Genuine Nikon AS4 Flash Unit Gun Coupler Hot Shoe F3 Japan 111,223538476527,Genuine Nikon AS-4 Flash Unit Gun Coupler Hot Shoe for F3 Japan 11-1,https://www.ebay.com/itm/Genuine-Nikon-AS-4-Flash-Unit-Gun-Coupler-Hot-Shoe-F3-Japan-11-1-/223538476527,19.99,USD,JP,69573,Flash Adapters,FixedPrice,Used
66,,Exc 4 Nikon F Eyelevel finder BLACK 35 mm SLR Film camera Body JAPAN,323893630786,[ Exc +4 ] Nikon F Eyelevel finder BLACK 35mm SLR Film camera Body from JAPAN,https://www.ebay.com/itm/Exc-4-Nikon-F-Eyelevel-finder-BLACK-35mm-SLR-Film-camera-Body-JAPAN-/323893630786,399.99,USD,JP,15230,Film Cameras,StoreInventory,Used
68,,Rare Nikon NikkorN Auto 114 35 mm Non Ai Lens,174034345263,*Rare* Nikon Nikkor-N Auto 1:1.4 35mm Non Ai Lens #B005e,https://www.ebay.com/itm/Rare-Nikon-Nikkor-N-Auto-1-1-4-35mm-Non-Ai-Lens-B005e-/174034345263,199.8,USD,JP,3323,Lenses,StoreInventory,Used
70,,Mint Case Nikon 35Ti 35 mm F28 Point Shoot Film Camera japan 604,173996822639,[Mint in Case] Nikon 35Ti 35mm F/2.8 Point & Shoot Film Camera from japan #604,https://www.ebay.com/itm/Mint-Case-Nikon-35Ti-35mm-F-2-8-Point-Shoot-Film-Camera-japan-604-/173996822639,659.9,USD,JP,15230,Film Cameras,StoreInventory,Used
