,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition
80,,EXC5 Nikon Nikkor W 210 mm F56 Format Lens Copal 1 JAPAN 967Y,174043150989,【EXC+5】 Nikon Nikkor W 210mm F5.6 Large Format Lens Copal 1 From JAPAN 967Y,https://www.ebay.com/itm/EXC-5-Nikon-Nikkor-W-210mm-F5-6-Large-Format-Lens-Copal-1-JAPAN-967Y-/174043150989,229.9,USD,JP,3323,Lenses,StoreInventory,Used
85,,NIKON AF NIKKOR 80200 mm F28 ED Lens Japan Exc 7317A,153588413677,NIKON AF NIKKOR 80-200mm F2.8 ED Lens from Japan [Exc+++] #7317A,https://www.ebay.com/itm/NIKON-AF-NIKKOR-80-200mm-F2-8-ED-Lens-Japan-Exc-7317A-/153588413677,179.99,USD,JP,3323,Lenses,FixedPrice,Used
88,,Nikon CH4 Ready Case F2 photomic,254365059473,Nikon CH-4 Ever Ready Case for F2 photomic #a0188,https://www.ebay.com/itm/Nikon-CH-4-Ever-Ready-Case-F2-photomic-a0188-/254365059473,19.99,USD,JP,107894,"Cases, Bags & Covers",StoreInventory,Used
89,,TAMRON SP 70300 mm f456 Di VC USD A005 Lens Nikon wBox Exc Japan,183959759527,TAMRON SP 70-300mm f/4-5.6 Di VC USD A005 Lens for Nikon w/Box Exc++ from Japan,https://www.ebay.com/itm/TAMRON-SP-70-300mm-f-4-5-6-Di-VC-USD-A005-Lens-Nikon-w-Box-Exc-Japan-/183959759527,207.99,USD,JP,3323,Lenses,StoreInventory,Used
93,,Exc Nikon Nikkors Auto 50 mm NonAi MF Lens Japan,153641957103,【Exc++++】 Nikon Nikkor-s Auto 50mm f/1.4 Non-Ai MF Lens From Japan,https://www.ebay.com/itm/Exc-Nikon-Nikkor-s-Auto-50mm-f-1-4-Non-Ai-MF-Lens-Japan-/153641957103,59.99,USD,JP,3323,Lenses,FixedPrice,Used
96,,ship Nikon FE SLR Camera Japan Parts,223654485525,Free ship Nikon FE SLR Camera from Japan shutter not works for Parts As is1938-1,https://www.ebay.com/itm/Free-ship-Nikon-FE-SLR-Camera-Japan-shutter-not-works-Parts-is1938-1-/223654485525,29.99,USD,JP,15230,Film Cameras,StoreInventory,Used
6,,Ex Nikon 50 mm f28 ELNikkor Enlarging Lens M39 14857,223660663234,*Ex* Nikon 50mm f2.8 EL-Nikkor Enlarging Lens for M39 14857,https://www.ebay.com/itm/Ex-Nikon-50mm-f2-8-EL-Nikkor-Enlarging-Lens-M39-14857-/223660663234,44.02,USD,JP,29986,Enlarging Lenses,StoreInventory,Used
9,,Nikon Nippon Kogaku Auto 24 mm F28 Lens 23537 G1,133158493638,Nikon Nippon Kogaku Nikkor-N Auto 24mm F/2.8 Lens #23537 G1,https://www.ebay.com/itm/Nikon-Nippon-Kogaku-Nikkor-N-Auto-24mm-F-2-8-Lens-23537-G1-/133158493638,128.7,USD,JP,3323,Lenses,FixedPrice,Used
10,,Ex Nikon 50 mm F28 ELNikkor Lens L39 DarkroomPrinting 14354,323912474691,*Ex* Nikon 50mm F2.8 EL-Nikkor Enlarging Lens For L39 Darkroom/Printing 14354,https://www.ebay.com/itm/Ex-Nikon-50mm-F2-8-EL-Nikkor-Enlarging-Lens-L39-Darkroom-Printing-14354-/323912474691,39.69,USD,JP,29986,Enlarging Lenses,StoreInventory,Used
11,,NIKON Ais NIKKOR 28 mm f2 MF Lens Japan 116,264296295329,【Excellent +++++】 NIKON Ai-s NIKKOR 28mm f/2 MF Lens from Japan #116,https://www.ebay.com/itm/Excellent-NIKON-Ai-s-NIKKOR-28mm-f-2-MF-Lens-Japan-116-/264296295329,208.99,USD,JP,3323,Lenses,StoreInventory,Used
12,,Nikon D800E 363MP Digital SLR Camera Body Grip Set Japan Exc 90911A,153642655694,Nikon D800E 36.3MP Digital SLR Camera Body Grip Set from Japan [Exc+++] #90911A,https://www.ebay.com/itm/Nikon-D800E-36-3MP-Digital-SLR-Camera-Body-Grip-Set-Japan-Exc-90911A-/153642655694,940.0,USD,JP,31388,Digital Cameras,FixedPrice,Used
16,,MC Peleng 8 mm 35 Fisheye Lens BelOMO BELARUS Nikon F Mount w Cap Japan Ex,333275144075,MC Peleng 8mm 3.5 Fisheye Lens BelOMO BELARUS Nikon F Mount w/ Cap from Japan Ex,https://www.ebay.com/itm/MC-Peleng-8mm-3-5-Fisheye-Lens-BelOMO-BELARUS-Nikon-F-Mount-w-Cap-Japan-Ex-/333275144075,158.88,USD,JP,3323,Lenses,FixedPrice,Used
30,,Mint BOX Nikon Ai Nikkor 135 mm Telephoto Manual Lens Japan,392425768463,Near Mint in BOX Nikon Ai Nikkor 135mm f/2.8 Telephoto Manual Lens  From Japan,https://www.ebay.com/itm/Near-Mint-BOX-Nikon-Ai-Nikkor-135mm-f-2-8-Telephoto-Manual-Lens-Japan-/392425768463,179.99,USD,JP,3323,Lenses,StoreInventory,Used
38,,Mint Nikon NikkorS Auto 50 mm f14 Non AI Lens wNikon Filter Japan 261,123701252840,Near Mint Nikon Nikkor-S Auto 50mm f/1.4 Non AI Lens w/Nikon Filter Japan # 261,https://www.ebay.com/itm/Near-Mint-Nikon-Nikkor-S-Auto-50mm-f-1-4-Non-AI-Lens-w-Nikon-Filter-Japan-261-/123701252840,89.99,USD,JP,3323,Lenses,StoreInventory,Used
40,,Nikon FE 35 mm SLR Film Camera Body SN3789991,254367661003,Nikon FE 35mm SLR Film Camera Body Only  SN3789991,https://www.ebay.com/itm/Nikon-FE-35mm-SLR-Film-Camera-Body-Only-SN3789991-/254367661003,71.8,USD,JP,15230,Film Cameras,StoreInventory,Used
49,,RARE EXC5Nikon rangefinder M Film Camera nikkor SC 5 CLA JAPAN,333266814715,【RARE!! EXC5】Nikon rangefinder M Film Camera  nikkor S.C 5cm f1.4 CLA From JAPAN,https://www.ebay.com/itm/RARE-EXC5-Nikon-rangefinder-M-Film-Camera-nikkor-S-C-5cm-f1-4-CLA-JAPAN-/333266814715,2499.99,USD,JP,15230,Film Cameras,StoreInventory,Used
69,,Exc Nikon Ais Ais Nikkor 3570 mm f35 Manual Filter Japan 2289,133095763880,*Exc+++* Nikon Ai-s Ais Nikkor 35-70mm f/3.5 Manual w/ Filter From Japan #2289,https://www.ebay.com/itm/Exc-Nikon-Ai-s-Ais-Nikkor-35-70mm-f-3-5-Manual-w-Filter-Japan-2289-/133095763880,68.0,USD,JP,3323,Lenses,StoreInventory,Used
81,,Mint Nikon DW20 Waist Level Finder F4 F4S Japan A10,254368745219,【Mint】 Nikon DW-20 Waist Level Finder for F4 F4S from Japan #A10,https://www.ebay.com/itm/Mint-Nikon-DW-20-Waist-Level-Finder-F4-F4S-Japan-A10-/254368745219,74.99,USD,JP,167930,Viewfinders & Eyecups,StoreInventory,Used
82,,Nikon DP20 DP20 View Finder Nikon F4 F4S F4E Excellent,223678770186,Nikon DP-20 DP20 View Finder for Nikon F4 F4S F4E  SN6448084 **Excellent+**,https://www.ebay.com/itm/Nikon-DP-20-DP20-View-Finder-Nikon-F4-F4S-F4E-SN6448084-Excellent-/223678770186,35.8,USD,JP,167930,Viewfinders & Eyecups,StoreInventory,Used
83,,Nikon 35 mm SLR Film Camera Body SN2448388 Excellent,264476004750,Nikon F80S 35mm SLR Film Camera Body Only SN2448388 **Excellent++**,https://www.ebay.com/itm/Nikon-F80S-35mm-SLR-Film-Camera-Body-Only-SN2448388-Excellent-/264476004750,67.8,USD,JP,15230,Film Cameras,StoreInventory,Used
