,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition
2,,MINT Nikon NIKKOR S Auto 55 mm MF Standard Lens F mount Japan,352807872142,Near MINT Nikon NIKKOR S Auto 55mm f/1.2 MF Standard Lens for F mount From Japan,https://www.ebay.com/itm/Near-MINT-Nikon-NIKKOR-S-Auto-55mm-f-1-2-MF-Standard-Lens-F-mount-Japan-/352807872142,229.0,USD,JP,3323,Lenses,StoreInventory,Used
6,,Near MINTNikon AFS TC14E II Teleconverter 14x TC14EII Japan,123903529881,【Near MINT】Nikon AF-S TC-14E II Teleconverter 1.4x TC14EII From Japan,https://www.ebay.com/itm/Near-MINT-Nikon-AF-S-TC-14E-II-Teleconverter-1-4x-TC14EII-Japan-/123903529881,229.99,USD,JP,3323,Lenses,StoreInventory,Used
9,,NMINT Case Nikon 28Ti Black Point Shoot 35 mm Film Camera JP 1560,183978442786,【N.MINT in Case】 Nikon 28Ti Black Point & Shoot 35mm Film Camera from JP #1560,https://www.ebay.com/itm/N-MINT-Case-Nikon-28Ti-Black-Point-Shoot-35mm-Film-Camera-JP-1560-/183978442786,849.9,USD,JP,15230,Film Cameras,StoreInventory,Used
13,,UNUSED BOX Nikon NIKKOR 80 mm f4 Water Lens NIKONOS Japan,372747984419,[UNUSED in BOX] Nikon NIKKOR 80mm f/4 Under Water Lens for NIKONOS From Japan,https://www.ebay.com/itm/UNUSED-BOX-Nikon-NIKKOR-80mm-f-4-Under-Water-Lens-NIKONOS-Japan-/372747984419,159.99,USD,JP,3323,Lenses,StoreInventory,Used
15,,MINT BOX SN 309xxxx Nikon F5 35 mm SLR Film Camera Body JAPAN,202787125218,【Near MINT IN BOX S/N 309xxxx】 Nikon F5 35mm SLR Film Camera Body From JAPAN a25,https://www.ebay.com/itm/Near-MINT-BOX-S-N-309xxxx-Nikon-F5-35mm-SLR-Film-Camera-Body-JAPAN-a25-/202787125218,399.99,USD,JP,15230,Film Cameras,StoreInventory,Used
16,,MintNIKON AI NIKKOR 135 mm F28 128 MF Telephoto Lens BOX JAPAN,323915115208,【Near Mint】NIKON AI NIKKOR 135mm F/2.8 1:2.8 MF Telephoto Lens +BOX From JAPAN,https://www.ebay.com/itm/Near-Mint-NIKON-AI-NIKKOR-135mm-F-2-8-1-2-8-MF-Telephoto-Lens-BOX-JAPAN-/323915115208,144.99,USD,JP,3323,Lenses,StoreInventory,Used
17,,Mint BOX Nikon 35 Ti 35 mm Point Shoot Film Camera Japan,123730768970,Almost Mint IN BOX Nikon 35 Ti 35mm Point & Shoot Film Camera From Japan,https://www.ebay.com/itm/Almost-Mint-BOX-Nikon-35-Ti-35mm-Point-Shoot-Film-Camera-Japan-/123730768970,649.99,USD,JP,15230,Film Cameras,StoreInventory,Used
19,,NIKON Binoculars 7x35 73 C,254253400070,NIKON Binoculars 7x35 7.3 C  Overhauled,https://www.ebay.com/itm/NIKON-Binoculars-7x35-7-3-C-Overhauled-/254253400070,190.0,USD,JP,64343,Straps & Hand Grips,StoreInventory,Used
20,,AS ISNIkon Nikkor AF 3570 mm f28 Zoom Lens Japan 355,143268302854,【AS IS】NIkon Nikkor AF 35-70mm f/2.8 Zoom Lens From Japan #355,https://www.ebay.com/itm/AS-IS-NIkon-Nikkor-AF-35-70mm-f-2-8-Zoom-Lens-Japan-355-/143268302854,99.99,USD,JP,3323,Lenses,StoreInventory,Used
22,,ALMOST MINT NIKON F4s 35 mm SLR Film Camera Body W MB21 JAPAN,113906425178,【 ALMOST MINT+++ 】 NIKON F4s 35mm SLR Film Camera Body W/ MB-21 From JAPAN,https://www.ebay.com/itm/ALMOST-MINT-NIKON-F4s-35mm-SLR-Film-Camera-Body-W-MB-21-JAPAN-/113906425178,159.9,USD,JP,15230,Film Cameras,StoreInventory,Used
28,,Nikon Ai Nikkor 200 mm f4 MF Telephoto Lens Excellent Japan FS,143359755903,Nikon Ai Nikkor 200mm f/4 MF Telephoto Lens [Excellent++] from Japan F/S,https://www.ebay.com/itm/Nikon-Ai-Nikkor-200mm-f-4-MF-Telephoto-Lens-Excellent-Japan-F-S-/143359755903,88.99,USD,JP,3323,Lenses,StoreInventory,Used
30,,MINT Nikon Ais Ais NIKKOR 50 mm F18 Pancake MF Lens Caps 705,283623769352,**MINT** Nikon Ai-s Ais NIKKOR 50mm F/1.8 Pancake MF Lens with Caps #705,https://www.ebay.com/itm/MINT-Nikon-Ai-s-Ais-NIKKOR-50mm-F-1-8-Pancake-MF-Lens-Caps-705-/283623769352,199.9,USD,JP,3323,Lenses,StoreInventory,Used
36,,Nikon NIKKOR Q 135 mm 128 NonAi Lens B019a,174036656669,Nikon NIKKOR Q 135mm 1:2.8 Non-Ai Lens *As Is* #B019a,https://www.ebay.com/itm/Nikon-NIKKOR-Q-135mm-1-2-8-Non-Ai-Lens-As-Is-B019a-/174036656669,19.8,USD,JP,3323,Lenses,StoreInventory,Used
37,,N MINT Nikon MR3 Shutter Release MD12 JAPAN,113807523280,"【N MINT】 Nikon MR-3 Shutter Release for MD-4, MD-12, F-801S,etc From JAPAN",https://www.ebay.com/itm/N-MINT-Nikon-MR-3-Shutter-Release-MD-4-MD-12-F-801S-etc-JAPAN-/113807523280,19.99,USD,JP,64345,Remotes & Shutter Releases,StoreInventory,Used
51,,ASIS Nikon AF Nikkor 3570 mm f28 Zoom Lens Japan N1466,133164396131,[AS-IS] Nikon AF Nikkor 35-70mm f/2.8 Zoom Lens from Japan #N1466,https://www.ebay.com/itm/AS-IS-Nikon-AF-Nikkor-35-70mm-f-2-8-Zoom-Lens-Japan-N1466-/133164396131,89.9,USD,JP,3323,Lenses,StoreInventory,Used
52,,Nikon Nikkor 200 mm f4 Lens Zenza Bronica Excellent 2342 Japan,283570472061,"Nikon Nikkor 200mm f/4 Lens For Zenza Bronica ""Excellent++"" #2342 From Japan",https://www.ebay.com/itm/Nikon-Nikkor-200mm-f-4-Lens-Zenza-Bronica-Excellent-2342-Japan-/283570472061,59.0,USD,JP,3323,Lenses,FixedPrice,Used
54,,EXC Nikon 35 mm SLR Film Camera Black Body Japan,123909748474,【EXC+++】 Nikon FE2 35mm SLR Film Camera Black Body Only from Japan #i16,https://www.ebay.com/itm/EXC-Nikon-FE2-35mm-SLR-Film-Camera-Black-Body-Only-Japan-i16-/123909748474,149.99,USD,JP,15230,Film Cameras,StoreInventory,Used
64,,ExcNikon AF NIKKOR 28105 mm f3545 D Macro Zoom Lens Japan 494876,254370981719,【Exc】Nikon AF NIKKOR 28-105mm f/3.5-4.5 D Macro Zoom Lens from Japan 494876,https://www.ebay.com/itm/Exc-Nikon-AF-NIKKOR-28-105mm-f-3-5-4-5-D-Macro-Zoom-Lens-Japan-494876-/254370981719,64.0,USD,JP,3323,Lenses,StoreInventory,Used
76,,Nikon F eyeLevel Finder Exc Japan6,303298825252,"Nikon F eyeLevel Finder ""Exc+++"" from Japan#6",https://www.ebay.com/itm/Nikon-F-eyeLevel-Finder-Exc-Japan-6-/303298825252,157.0,USD,JP,167930,Viewfinders & Eyecups,FixedPrice,Used
85,,Kenko 1935 mm F3545 Nikon Ais MF Lens Near Mint JAPAN,254331214896,Kenko 19-35mm F/3.5-4.5 for Nikon Ai-s MF Lens [Near Mint] from JAPAN,https://www.ebay.com/itm/Kenko-19-35mm-F-3-5-4-5-Nikon-Ai-s-MF-Lens-Near-Mint-JAPAN-/254331214896,94.0,USD,JP,3323,Lenses,StoreInventory,Used
88,,Nikon Back Door Nikon F3 SN279 Excellent,264474629185,Nikon Back Door for Nikon F3 SN279  **Excellent+**,https://www.ebay.com/itm/Nikon-Back-Door-Nikon-F3-SN279-Excellent-/264474629185,28.5,USD,JP,29973,Film Backs & Holders,StoreInventory,Used
3,,Mint Nikon DW20 Waist Level Finder Nikon F4 F4s F4e Japan,312754723846,Near Mint Nikon DW-20 Waist Level Finder for Nikon F4 F4s F4e From Japan,https://www.ebay.com/itm/Near-Mint-Nikon-DW-20-Waist-Level-Finder-Nikon-F4-F4s-F4e-Japan-/312754723846,69.99,USD,JP,167930,Viewfinders & Eyecups,FixedPrice,Used
12,,EXC Sigma APO 120300 mm 28 EX DG HSM Nikon mount Japan,223521335635,EXC++ Sigma APO 120-300mm f 2.8 EX DG HSM Nikon mount from Japan,https://www.ebay.com/itm/EXC-Sigma-APO-120-300mm-f-2-8-EX-DG-HSM-Nikon-mount-Japan-/223521335635,1305.0,USD,JP,3323,Lenses,FixedPrice,Used
19,,MINT Nikon Shoulder Neck Strap Nikon SLRDSLR Camera FS Japan 920,254347939549,[Near MINT] Nikon Shoulder Neck Strap for Nikon SLR/DSLR Camera F/S Japan #920,https://www.ebay.com/itm/Near-MINT-Nikon-Shoulder-Neck-Strap-Nikon-SLR-DSLR-Camera-F-S-Japan-920-/254347939549,16.99,USD,JP,64343,Straps & Hand Grips,StoreInventory,Used
24,,Ship 24 Hrs Excellent Nikon L35 AD2 AF Compact Film Camera 35 mm f28,133154705799,@ Ship in 24 Hrs! @ Excellent! @ Nikon L35 AD2 AF Compact Film Camera 35mm f2.8,https://www.ebay.com/itm/Ship-24-Hrs-Excellent-Nikon-L35-AD2-AF-Compact-Film-Camera-35mm-f2-8-/133154705799,135.0,USD,JP,15230,Film Cameras,StoreInventory,Used
28,,Mint Nikon AIS Micro NIKKOR 55 mm f28 Lens Macro Japan,352807166612,[Mint] Nikon AI-S Micro NIKKOR 55mm f/2.8 Lens Macro from Japan,https://www.ebay.com/itm/Mint-Nikon-AI-S-Micro-NIKKOR-55mm-f-2-8-Lens-Macro-Japan-/352807166612,114.9,USD,JP,3323,Lenses,StoreInventory,Used
37,,Nikon F3 EyeLevel 35 mm BLACK Body SLR Camera Japan E202,153661602755,Nikon F3 Eye-Level 35mm BLACK Body SLR Camera from Japan (E202),https://www.ebay.com/itm/Nikon-F3-Eye-Level-35mm-BLACK-Body-SLR-Camera-Japan-E202-/153661602755,198.0,USD,JP,15230,Film Cameras,StoreInventory,Used
54,,NEAR MINT Nikon FE Black 35 mm SLR Film Camera Body wFM12 JAPAN 243,333287555687,【  NEAR MINT  】Nikon FE Black 35mm SLR Film Camera Body w/FM-12 From JAPAN # 243,https://www.ebay.com/itm/NEAR-MINT-Nikon-FE-Black-35mm-SLR-Film-Camera-Body-w-FM-12-JAPAN-243-/333287555687,159.99,USD,JP,15230,Film Cameras,StoreInventory,Used
56,,Nikon Ai Nikkor 135 mm Telephoto Lens JAPAN 2055,173841992046,【Excellent+++++】 Nikon Ai Nikkor 135mm f/2.8 Telephoto Lens from JAPAN #2055,https://www.ebay.com/itm/Excellent-Nikon-Ai-Nikkor-135mm-f-2-8-Telephoto-Lens-JAPAN-2055-/173841992046,71.94,USD,JP,3323,Lenses,StoreInventory,Used
60,,Nikon D D80 102MP Digital SLR Camera Black Kit 18135 mm Lens,163863298374,Nikon D D80 10.2MP Digital SLR Camera Black Kit w/ 18-135mm Lens,https://www.ebay.com/itm/Nikon-D-D80-10-2MP-Digital-SLR-Camera-Black-Kit-w-18-135mm-Lens-/163863298374,170.05,USD,JP,31388,Digital Cameras,StoreInventory,Used
61,,MINT BOXNikon 35Ti 35 mm Point Shoot Film Camera Japan 429,163874174307,【MINT IN BOX!!】Nikon 35Ti 35mm Point & Shoot Film Camera From Japan #429,https://www.ebay.com/itm/MINT-BOX-Nikon-35Ti-35mm-Point-Shoot-Film-Camera-Japan-429-/163874174307,549.99,USD,JP,15230,Film Cameras,StoreInventory,Used
62,,Nikon MicroNikkor 55 mm AiS Lens Japan 491237,254363041214,Nikon Micro-Nikkor 55mm f/2.8 Ai-S Lens from Japan 491237,https://www.ebay.com/itm/Nikon-Micro-Nikkor-55mm-f-2-8-Ai-S-Lens-Japan-491237-/254363041214,82.0,USD,JP,3323,Lenses,StoreInventory,Used
66,,EXCELLENT Nikon Nikkor Ai 105 mm f25 Lens F Mount SLR Japan,383173561054,[EXCELLENT+++++]  Nikon Nikkor Ai 105mm f/2.5 Lens For F Mount SLR From Japan,https://www.ebay.com/itm/EXCELLENT-Nikon-Nikkor-Ai-105mm-f-2-5-Lens-F-Mount-SLR-Japan-/383173561054,129.9,USD,JP,3323,Lenses,FixedPrice,Used
81,,NIKON DR4 DR4 RIGHT ANGLE FINDER VIEW FINDER 14368,323912468392,*Beautiful* NIKON DR-4 DR4 RIGHT ANGLE FINDER VIEW FINDER 14368,https://www.ebay.com/itm/Beautiful-NIKON-DR-4-DR4-RIGHT-ANGLE-FINDER-VIEW-FINDER-14368-/323912468392,35.36,USD,JP,167930,Viewfinders & Eyecups,StoreInventory,Used
82,,AS Nikon Nikkor 50 mm f18 18 Ais Pancake Lens 2093900,163885041059,*AS IS Nikon Nikkor 50mm f/1.8 f 1.8 Ai-s Pancake Lens *2093900,https://www.ebay.com/itm/AS-Nikon-Nikkor-50mm-f-1-8-f-1-8-Ai-s-Pancake-Lens-2093900-/163885041059,68.99,USD,JP,3323,Lenses,FixedPrice,Used
86,,MINT SIGMA Aspherical 28300 mm f3563 DL Hyper Zoom Lens Nikon AF,283611422510,[MINT] SIGMA Aspherical IF 28-300mm f3.5-6.3 DL Hyper Zoom Lens for Nikon AF,https://www.ebay.com/itm/MINT-SIGMA-Aspherical-IF-28-300mm-f3-5-6-3-DL-Hyper-Zoom-Lens-Nikon-AF-/283611422510,89.99,USD,JP,3323,Lenses,StoreInventory,Used
87,,MINT Nikon Nikkor AIS AIS 50 mm f12 Lens F Mount SLR Japan,383180615983,[MINT]  Nikon Nikkor AI-S AIS 50mm f/1.2 Lens For F Mount SLR From Japan,https://www.ebay.com/itm/MINT-Nikon-Nikkor-AI-S-AIS-50mm-f-1-2-Lens-F-Mount-SLR-Japan-/383180615983,319.9,USD,JP,3323,Lenses,FixedPrice,Used
90,,Nikon NikkorQ Auto 14 200 mm Lens,174025617680,Nikon Nikkor-Q Auto 1:4 200mm Lens #EM27b,https://www.ebay.com/itm/Nikon-Nikkor-Q-Auto-1-4-200mm-Lens-EM27b-/174025617680,29.8,USD,JP,3323,Lenses,StoreInventory,Used
95,,MINT Box SN 246xxxx Nikon F4 35 mm SLR Film Camera Body JAPAN 0043,312736032329,【MINT in Box S/N 246xxxx】 Nikon F4 35mm SLR Film Camera Body From JAPAN #0043,https://www.ebay.com/itm/MINT-Box-S-N-246xxxx-Nikon-F4-35mm-SLR-Film-Camera-Body-JAPAN-0043-/312736032329,354.9,USD,JP,15230,Film Cameras,StoreInventory,Used
8,,Nikon Semi Soft Case CF64 Empty Box Japan,392432758140,【Excellent+++++】 Nikon Semi Soft Case CF-64 Empty Box Only From Japan,https://www.ebay.com/itm/Excellent-Nikon-Semi-Soft-Case-CF-64-Empty-Box-Only-Japan-/392432758140,5.9,USD,JP,107894,"Cases, Bags & Covers",FixedPrice,Used
10,,EXCNikon L35 TW2D Point Shoot AF 35 mm Film Camera JAPAN 481539,333306436420,【EXC+++】Nikon L35 TW2D Point & Shoot AF 35mm Film Camera from JAPAN #481539,https://www.ebay.com/itm/EXC-Nikon-L35-TW2D-Point-Shoot-AF-35mm-Film-Camera-JAPAN-481539-/333306436420,49.99,USD,JP,15230,Film Cameras,StoreInventory,Used
13,,Mint Nikon Neck Shoulder Strap Green Japan,163596625444,Mint - Nikon Neck / Shoulder Wide Strap Green from Japan,https://www.ebay.com/itm/Mint-Nikon-Neck-Shoulder-Wide-Strap-Green-Japan-/163596625444,19.99,USD,JP,107894,"Cases, Bags & Covers",FixedPrice,Used
15,,Excellent Nikon zoom NIKKOR 80200 mm ED f28 AF Lens 430,192892475422,Excellent+ Nikon zoom NIKKOR 80-200mm ED f/2.8 AF Lens #430,https://www.ebay.com/itm/Excellent-Nikon-zoom-NIKKOR-80-200mm-ED-f-2-8-AF-Lens-430-/192892475422,190.0,USD,JP,3323,Lenses,StoreInventory,Used
16,,Mint Nikon F801s Black 35 mm SLR Film Camera Body Japan 817,401885730312,"""Mint"" Nikon F-801s Black 35mm SLR Film Camera Body From Japan #817",https://www.ebay.com/itm/Mint-Nikon-F-801s-Black-35mm-SLR-Film-Camera-Body-Japan-817-/401885730312,99.99,USD,JP,15230,Film Cameras,StoreInventory,Used
21,,N MINTSN805xxxxNikon F2AS Photomic Late Model DP12Strap JAPAN,401822226198,"【N MINT:S/N805xxxx!!】Nikon F2AS Photomic Late Model w/ DP-12,Strap! From JAPAN",https://www.ebay.com/itm/N-MINT-S-N805xxxx-Nikon-F2AS-Photomic-Late-Model-w-DP-12-Strap-JAPAN-/401822226198,499.99,USD,JP,15230,Film Cameras,StoreInventory,Used
28,,MINT TOKINA ATX AF PRO 2870 mm F28 whood Japan,173844689554,MINT TOKINA AT-X AF PRO 28-70mm F2.8 nikon w/hood from Japan,https://www.ebay.com/itm/MINT-TOKINA-AT-X-AF-PRO-28-70mm-F2-8-nikon-w-hood-Japan-/173844689554,209.99,USD,JP,3323,Lenses,StoreInventory,Used
29,,Nikon NIKKORHC Auto 28 mm F35 NonAi Lens SN861061,323929292184,Nikon NIKKOR-H・C Auto 28mm F3.5 Non-Ai Lens SN861061,https://www.ebay.com/itm/Nikon-NIKKOR-H-C-Auto-28mm-F3-5-Non-Ai-Lens-SN861061-/323929292184,34.8,USD,JP,3323,Lenses,StoreInventory,Used
30,,Nikon Zoom Nikkor AF 80200 mm F28 AF ED Lens Japan,153444133212,Nikon Zoom Nikkor AF 80-200mm F/2.8 AF ED Lens Made In Japan,https://www.ebay.com/itm/Nikon-Zoom-Nikkor-AF-80-200mm-F-2-8-AF-ED-Lens-Made-Japan-/153444133212,190.37,USD,JP,3323,Lenses,StoreInventory,Used
34,,N Mint Box NIKON AFS VR NIKKOR ED 70200 mm f28 G Lens Japan,283584726429,""" N Mint ++ in Box "" NIKON AF-S VR NIKKOR ED 70-200mm f/2.8 G IF Lens from Japan",https://www.ebay.com/itm/N-Mint-Box-NIKON-AF-S-VR-NIKKOR-ED-70-200mm-f-2-8-G-IF-Lens-Japan-/283584726429,938.8,USD,JP,3323,Lenses,StoreInventory,Used
37,,Nikon F2 Photomic 35 mm SLR Film Camera Body SN7691160 Excellent,254370573066,Nikon F2 Photomic 35mm SLR Film Camera Body Only  SN7691160 **Excellent+**,https://www.ebay.com/itm/Nikon-F2-Photomic-35mm-SLR-Film-Camera-Body-Only-SN7691160-Excellent-/254370573066,149.8,USD,JP,15230,Film Cameras,StoreInventory,Used
47,,NEAR MINT Nikon F2 Photomic DP1 35 mm SLR Film Camera Japan 85,123902032207,[NEAR MINT] Nikon F2 Photomic DP-1 35mm SLR Film Camera from Japan #85,https://www.ebay.com/itm/NEAR-MINT-Nikon-F2-Photomic-DP-1-35mm-SLR-Film-Camera-Japan-85-/123902032207,149.99,USD,JP,15230,Film Cameras,FixedPrice,Used
57,,Nikon MB21 Battery Grip Nikon F4 EXC Fully Working Japan D3,163737333107,Nikon MB-21 Battery Grip for Nikon F4 [EXC+++++] Fully Working from Japan #D3,https://www.ebay.com/itm/Nikon-MB-21-Battery-Grip-Nikon-F4-EXC-Fully-Working-Japan-D3-/163737333107,62.99,USD,JP,29967,Battery Grips,StoreInventory,Used
59,,Mint Nikon AFS 18200 mm F3556 G ED DX VR wLens Hood Japan,383184658766,Near Mint Nikon AF-S 18-200mm F/3.5-5.6 G ED DX VR w/Lens Hood from Japan,https://www.ebay.com/itm/Near-Mint-Nikon-AF-S-18-200mm-F-3-5-5-6-G-ED-DX-VR-w-Lens-Hood-Japan-/383184658766,175.0,USD,JP,3323,Lenses,StoreInventory,Used
69,,Opt Mint Nikon AiS NIKKOR 55 mm Micro MF Lens Japan 229021,372755044962,[Opt Mint] Nikon Ai-S NIKKOR 55mm f/2.8 Micro MF Lens From Japan #229021,https://www.ebay.com/itm/Opt-Mint-Nikon-Ai-S-NIKKOR-55mm-f-2-8-Micro-MF-Lens-Japan-229021-/372755044962,94.99,USD,JP,3323,Lenses,FixedPrice,Used
71,,Nikon Nikkor Ais 35 mm 12 F2 lens Japan 213357,323874646762,Nikon Nikkor Ai-s 35mm 1:2 F/2 lens from Japan 213357,https://www.ebay.com/itm/Nikon-Nikkor-Ai-s-35mm-1-2-F-2-lens-Japan-213357-/323874646762,119.99,USD,JP,3323,Lenses,FixedPrice,Used
74,,MINT wCase NIKON Photomic F2 DP1 Nikkor SC Auto 50 mm JAPAN 112,312783620614,【 MINT w/Case 】 NIKON Photomic F2 DP-1 Nikkor S.C Auto 50mm f1.4 from JAPAN #112,https://www.ebay.com/itm/MINT-w-Case-NIKON-Photomic-F2-DP-1-Nikkor-S-C-Auto-50mm-f1-4-JAPAN-112-/312783620614,289.99,USD,JP,15230,Film Cameras,StoreInventory,Used
75,,Nikon Tele Converter Lens TCE2 2X Japan 740,123899761614,Excellent+++++ Nikon Tele Converter Lens TC-E2 2X from Japan # 740,https://www.ebay.com/itm/Excellent-Nikon-Tele-Converter-Lens-TC-E2-2X-Japan-740-/123899761614,24.99,USD,JP,80390,Auxiliary/Conversion Lenses,StoreInventory,Used
79,,Nikon F 35 mm SLR Film Camera Body,254360976216,Nikon F 35mm SLR Film Camera Body Only  SN6977236,https://www.ebay.com/itm/Nikon-F-35mm-SLR-Film-Camera-Body-Only-SN6977236-/254360976216,33.8,USD,JP,15230,Film Cameras,StoreInventory,Used
