,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,model,TotalCounts,Target
70,,Mint Nikon NIKKOR 20 mm F4 Ai Wide Angle MF Lens F Mount Japan,352701334597,【Near Mint】 Nikon NIKKOR 20mm F4  Ai Wide Angle MF Lens for F Mount from Japan,https://www.ebay.com/itm/Near-Mint-Nikon-NIKKOR-20mm-F4-Ai-Wide-Angle-MF-Lens-F-Mount-Japan-/352701334597,269.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR,14187.0,3
60,,Exc Nikon Ai Nikkor 200 mm F4 Prime MF Telephoto Lens Japan 559,233331054682,[Exc++++] Nikon Ai Nikkor 200mm F4 Prime MF Telephoto Lens from Japan # 559,https://www.ebay.com/itm/Exc-Nikon-Ai-Nikkor-200mm-F4-Prime-MF-Telephoto-Lens-Japan-559-/233331054682,69.9,USD,JP,3323,Lenses,StoreInventory,Used,NIKKOR,14036.0,3
91,,Nikon NIKKOR QC Auto135 mm F28 MF Telephoto Lens Japan,202747281403,Nikon NIKKOR QC Auto135mm F/2.8 MF Telephoto Lens from Japan,https://www.ebay.com/itm/Nikon-NIKKOR-QC-Auto135mm-F-2-8-MF-Telephoto-Lens-Japan-/202747281403,45.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14036.0,3
43,,Nikon NIKKOR QC Auto135 mm F28 MF Telephoto Lens Japan 405260,202750049775,Nikon NIKKOR QC Auto135mm F/2.8 MF Telephoto Lens from Japan #405260,https://www.ebay.com/itm/Nikon-NIKKOR-QC-Auto135mm-F-2-8-MF-Telephoto-Lens-Japan-405260-/202750049775,45.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14036.0,3
17,,MINT Nikon AiS Nikkor 105 mm f25 Prime MF Lens NH3 Hood Japan 170,173985363038,【MINT】  Nikon Ai-S Nikkor 105mm f/2.5 Prime MF Lens + NH-3 Hood from Japan #170,https://www.ebay.com/itm/MINT-Nikon-Ai-S-Nikkor-105mm-f-2-5-Prime-MF-Lens-NH-3-Hood-Japan-170-/173985363038,279.9,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14036.0,3
96,,Nikon MF Ai Zoom Nikkor Auto 80200 mm f45 Film Lens Japan,202747283871,Nikon MF Ai Zoom Nikkor Auto 80-200mm f/4.5 Film Lens From Japan,https://www.ebay.com/itm/Nikon-MF-Ai-Zoom-Nikkor-Auto-80-200mm-f-4-5-Film-Lens-Japan-/202747283871,55.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14036.0,3
78,,N Mint Nikon Nikkor 50 mm f2 NonAi MF Manual FoucusLens Japan 59,202768849116,[N Mint++] Nikon Nikkor 50mm f/2 Non-Ai MF Manual FoucusLens From Japan #59,https://www.ebay.com/itm/N-Mint-Nikon-Nikkor-50mm-f-2-Non-Ai-MF-Manual-FoucusLens-Japan-59-/202768849116,59.8,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14036.0,3
23,,Nikon Ais Ais Nikkor 200 mm f4 MF Telephoto Prime Lens Excellent Japan,174009542969,Nikon Ai-s Ais Nikkor 200mm f/4 MF Telephoto Prime Lens [Excellent] from Japan,https://www.ebay.com/itm/Nikon-Ai-s-Ais-Nikkor-200mm-f-4-MF-Telephoto-Prime-Lens-Excellent-Japan-/174009542969,69.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14036.0,3
12,,Nikon Nikkors Auto 55 mm MF Lens Japan 468304,254309675597,Nikon Nikkor-s Auto  55mm f/1.2 MF Lens from Japan #468304,https://www.ebay.com/itm/Nikon-Nikkor-s-Auto-55mm-f-1-2-MF-Lens-Japan-468304-/254309675597,189.99,USD,JP,3323,Lenses,FixedPrice,Used,Nikkor,14036.0,3
85,,MintNikon AF Nikkor 2450 mm f3345 D MF Lens Hood HB3 JAPAN,123878265837,【Mint】Nikon AF Nikkor 24-50mm f/3.3-4.5 D MF Lens  w/ Hood HB-3 from JAPAN #H83,https://www.ebay.com/itm/Mint-Nikon-AF-Nikkor-24-50mm-f-3-3-4-5-D-MF-Lens-w-Hood-HB-3-JAPAN-H83-/123878265837,89.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF Nikkor,7988.0,3
