id,type
410,11
199,11
1674,21
1124,21
1355,5
891,21
254,11
2105,21
1545,11
1719,21
1563,11
1690,21
528,21
93,21
1651,11
111,21
2075,21
2007,21
1869,15
998,21
1667,21
1980,21
2210,21
188,7
1971,21
486,11
134,21
736,21
705,11
2107,11
993,21
56,21
755,11
2335,21
1132,21
1322,11
598,11
1356,35
1106,1
1435,21
1385,9
1225,11
1050,20
173,11
2227,21
940,1
408,11
610,24
1260,30
1109,21
1822,21
1181,21
443,11
973,11
1347,5
445,21
1706,21
2186,21
1456,15
527,15
1229,21
1352,11
471,21
886,21
1405,11
2331,21
1307,21
2112,21
1662,21
1801,21
1713,20
435,11
1261,7
1381,11
229,11
2196,7
1178,1
1609,21
733,11
1422,11
2312,21
1025,21
179,11
1133,21
211,21
2127,7
1691,21
1523,21
259,35
1455,11
509,11
741,21
2037,21
2212,21
2232,11
1419,11
1533,21
1054,21
1070,21
786,11
2220,21
482,11
906,15
1621,21
218,11
247,11
1824,11
979,21
332,11
1544,21
1330,21
836,21
2415,24
321,11
2262,21
2034,35
252,11
1793,21
555,11
210,21
942,35
2385,11
978,11
1829,21
44,21
1885,7
629,21
764,21
1834,21
251,11
100,21
1594,11
1933,21
1454,18
208,21
867,11
719,21
1336,11
237,11
1692,21
530,11
422,11
1245,11
407,21
855,21
1242,21
2373,21
342,21
464,21
353,11
1677,21
1366,15
869,11
800,21
2417,11
1362,11
838,21
637,11
1309,11
1176,11
1741,21
1023,21
2322,7
1171,21
1760,21
810,21
1258,21
1477,21
1427,35
508,21
1161,11
602,21
1089,11
450,11
1859,21
1739,21
700,21
630,35
903,21
196,11
632,21
29,21
387,21
239,11
1033,21
1272,21
246,11
1364,11
1194,18
430,11
643,11
1792,21
2406,21
497,11
670,21
1228,35
438,11
792,21
1756,21
1411,19
1075,21
1223,21
1116,21
485,11
1850,21
296,11
1413,30
2025,21
678,21
69,11
2242,21
461,7
1462,21
2311,11
2218,21
1798,7
96,21
463,21
1493,35
2063,21
1221,11
1871,21
361,21
649,21
1175,11
1200,21
642,11
1389,7
892,15
432,21
1842,21
518,21
282,11
677,21
1071,21
2265,21
554,21
819,21
1017,21
1457,21
565,11
672,21
1804,11
1763,21
926,21
1807,30
1770,21
1605,7
1817,21
1037,21
416,21
767,35
1393,21
367,21
1984,24
1607,11
149,11
1556,11
2029,21
1878,21
857,21
1730,11
2031,21
2073,21
1688,21
1820,21
163,11
1840,21
1270,11
1825,21
2267,21
952,21
2346,7
279,11
49,21
67,11
679,11
48,21
2299,21
1103,14
1241,21
1271,7
124,11
507,21
2287,21
575,21
621,21
907,21
1942,21
647,11
440,21
1448,19
1083,21
900,11
2148,11
1989,21
949,11
802,21
2115,21
2154,7
240,11
70,7
915,18
457,21
73,21
694,21
2383,21
402,15
1689,21
1041,11
2181,11
1255,21
157,11
2129,7
1898,32
564,11
798,35
495,11
1761,11
1732,21
2269,21
51,21
2159,21
1559,11
988,15
1471,21
963,21
1653,21
1285,11
2014,21
291,21
1725,21
856,21
350,21
1808,21
2364,11
1442,9
1958,21
1673,21
1592,11
695,11
1333,20
299,21
941,21
1412,35
1786,21
2168,7
2077,11
1078,15
220,11
2164,7
1085,35
414,21
729,21
84,21
883,21
1908,20
913,21
109,21
354,21
873,11
1047,21
290,21
1936,21
668,11
1913,21
1783,21
1195,5
2001,21
617,21
2341,21
1321,35
212,21
2250,21
2270,7
1131,21
2388,18
2411,21
1920,21
1055,21
2026,21
2217,11
18,21
2281,21
1382,21
650,21
821,21
1311,21
990,35
1383,35
76,11
1231,21
1620,11
2328,21
1996,11
2351,11
168,21
472,21
620,21
1815,21
756,1
219,11
1394,21
2128,21
1084,7
303,21
1596,21
2225,21
2033,21
2060,21
479,11
831,11
1121,32
1204,11
2370,21
1909,20
368,11
231,11
522,21
135,7
25,21
532,21
929,21
902,11
1887,21
478,11
1453,15
192,11
289,21
2219,21
1535,11
1386,11
1755,21
582,11
2141,21
1027,21
128,21
2042,21
1849,21
2096,11
2234,21
233,11
433,11
2404,21
307,21
1694,21
2255,21
383,11
1216,15
964,21
2239,21
1539,11
406,21
177,11
426,11
1604,35
618,21
1222,35
184,11
480,11
1754,11
1836,21
1502,11
298,21
1179,11
829,21
636,21
2145,21
599,11
596,35
1654,21
178,11
1295,7
324,11
2057,21
976,2
1360,21
1476,11
118,15
1572,21
727,11
281,11
2010,21
1613,11
