id,type
685,10
111,21
1512,10
1651,21
741,21
2039,21
237,21
952,10
1532,21
450,10
2072,21
618,10
1652,6
862,6
1249,10
1523,36
787,10
1337,36
2208,21
2036,21
647,10
1196,36
1087,10
2205,21
2399,10
2351,21
1377,10
527,21
1844,10
1404,36
1208,21
555,21
978,21
2387,21
1655,10
1815,21
472,10
1333,21
1567,10
1198,21
2149,21
1322,10
2295,21
1421,10
727,21
1014,21
2358,21
889,36
1304,10
2204,10
1471,36
1779,10
2051,21
56,21
1875,21
196,21
1935,21
387,21
188,21
1441,36
254,10
2029,21
1161,36
252,10
1613,10
1456,6
1599,6
1103,10
1619,10
998,36
900,10
2367,36
719,21
1057,36
1506,6
461,10
582,10
134,21
2266,21
2021,36
321,21
790,10
239,21
2046,21
944,10
218,21
788,36
479,10
1027,10
247,10
1629,21
1090,21
1769,21
1393,10
44,21
342,10
1927,21
2159,21
1739,21
886,10
100,21
1187,10
1125,21
1336,10
759,10
620,10
1480,10
1435,36
1994,21
1985,21
1572,10
1995,21
756,10
1493,21
2181,21
432,21
705,10
1824,21
873,21
1800,21
2384,21
1665,21
1669,21
679,21
199,10
486,21
440,10
407,10
471,10
840,21
1577,36
443,10
438,10
430,21
2113,21
353,10
1762,21
279,6
1242,10
817,21
1344,10
1692,21
1517,21
1293,10
857,21
755,21
173,10
617,21
948,10
435,21
402,10
1666,21
636,21
2044,21
2251,21
2043,21
1134,21
859,10
2268,10
1668,21
1760,10
1229,10
1591,10
179,10
1170,21
29,21
1851,21
929,6
480,21
2023,21
544,10
798,21
410,6
940,10
2134,10
902,10
2144,21
1255,36
2141,21
874,21
1780,21
229,10
2171,21
282,10
1792,10
464,21
2369,21
1727,21
1395,21
210,10
69,21
2226,21
1786,21
821,10
1640,10
1226,36
251,10
96,10
1902,21
1472,10
211,21
1477,21
2059,10
508,21
485,21
259,10
629,21
1005,21
2192,21
1457,34
1151,21
2076,21
1778,21
1872,21
1058,36
1795,21
2176,21
361,10
1463,21
463,10
1313,21
296,21
1814,21
1991,21
1378,10
1366,19
2206,21
1583,36
1241,21
867,21
1730,21
1608,36
518,10
350,21
2249,21
2281,6
149,10
208,10
1083,36
1222,36
2315,21
1448,10
1950,21
1497,10
1744,21
630,21
1406,10
445,10
1105,10
621,10
2183,10
163,10
1978,21
1387,21
903,10
1334,21
1801,21
677,10
1644,8
1237,21
642,21
49,21
67,10
332,10
48,21
2311,21
1338,21
1132,10
800,10
124,10
1488,10
507,10
1846,21
2219,10
2388,21
1893,21
855,21
1901,21
964,10
932,10
883,10
1419,10
1054,5
2319,21
581,21
2184,10
240,21
70,6
974,21
2230,10
73,10
1770,21
2201,21
433,21
736,10
1018,21
532,10
999,21
157,10
1461,10
1871,21
1273,10
1965,21
1244,5
1207,21
414,10
670,10
51,21
408,10
1050,10
1942,10
1452,36
1659,21
1269,36
2119,21
291,21
1559,36
841,21
807,21
2098,21
792,21
1717,21
786,21
1701,21
1817,21
1315,10
299,21
1746,21
422,10
495,21
1171,21
1225,21
1362,36
220,21
781,21
1728,20
2127,21
2232,21
84,21
2086,21
2292,21
2045,21
109,21
1601,36
1541,10
290,10
1302,21
478,21
528,21
2093,21
354,10
668,21
1159,21
2325,21
613,21
212,21
1618,10
1303,21
1793,21
416,10
2392,21
1043,21
1900,21
1593,6
18,10
367,21
1364,10
637,21
1279,8
744,21
1907,21
76,10
1135,10
482,21
2147,21
1112,36
2290,21
168,10
1163,36
1221,21
2016,10
742,10
219,21
1357,21
497,21
1071,21
303,10
1886,21
1133,5
509,21
1975,21
1940,21
1708,21
916,21
802,10
839,21
1882,21
368,21
231,10
1667,21
135,21
25,21
2002,21
829,21
892,21
2117,21
1912,21
192,10
289,21
1920,10
2115,10
1368,36
1731,21
1179,21
1379,36
1605,10
128,21
2011,21
1518,10
554,21
1807,10
233,10
1004,21
307,21
1380,21
1117,21
383,21
2323,10
1827,21
2223,21
611,21
1721,21
177,21
426,21
1582,10
605,21
1530,10
184,10
1546,21
733,21
2121,6
1653,10
298,21
2153,21
1725,21
1451,10
2131,21
643,10
651,21
1199,36
178,10
1283,10
324,21
2211,21
2301,21
1465,10
575,10
118,10
1211,10
2398,21
281,21
2335,21
530,10
2180,21
522,10
1545,10
602,21
1505,10
565,21
596,21
1840,10
785,21
1703,21
366,21
1223,21
1964,10
43,21
2080,21
610,10
2320,21
203,10
