,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition
0,,NEAR MINT Nikon AF Nikkor 3570 mm f3345 AF Zoom Lens Japan,372753920907,NEAR MINT Nikon AF Nikkor 35-70mm f3.3-4.5 AF Zoom Lens from Japan,https://www.ebay.com/itm/NEAR-MINT-Nikon-AF-Nikkor-35-70mm-f3-3-4-5-AF-Zoom-Lens-Japan-/372753920907,35.0,USD,JP,3323,Lenses,StoreInventory,Used
11,,Ex Nikon 75 mm F4 ELNikkor Enlarging Lens L39 DarkroomPrinting 14353,323912468407,*Ex++* Nikon 75mm F4 EL-Nikkor Enlarging Lens For L39 Darkroom/Printing 14353,https://www.ebay.com/itm/Ex-Nikon-75mm-F4-EL-Nikkor-Enlarging-Lens-L39-Darkroom-Printing-14353-/323912468407,43.3,USD,JP,29986,Enlarging Lenses,StoreInventory,Used
14,,Nikon FE 35 mm SLR Film Camera Body SN3484881,254363835864,Nikon FE 35mm SLR Film Camera Body Only  SN3484881 **Excellent+**,https://www.ebay.com/itm/Nikon-FE-35mm-SLR-Film-Camera-Body-Only-SN3484881-Excellent-/254363835864,65.8,USD,JP,15230,Film Cameras,StoreInventory,Used
23,,Nikon F401 Zoom Camera Bag Set Shipping japan,401830597484,Nikon F-401 Double Zoom Camera Bag Set Shipping free From japan,https://www.ebay.com/itm/Nikon-F-401-Double-Zoom-Camera-Bag-Set-Shipping-free-japan-/401830597484,140.0,USD,JP,15230,Film Cameras,StoreInventory,Used
25,,Nikon Nikkor 50 mm F14 NonAi MF Standard Prime Lens SN2950622 AsIs,133147960781,Nikon Nikkor 50mm F/1.4 Non-Ai MF Standard Prime Lens SN2950622 *As-Is*,https://www.ebay.com/itm/Nikon-Nikkor-50mm-F-1-4-Non-Ai-MF-Standard-Prime-Lens-SN2950622-As-Is-/133147960781,39.8,USD,JP,3323,Lenses,StoreInventory,Used
26,,Nikon Teleconverter TC200 SN221395 Japan,133165989085,Nikon Teleconverter TC-200 2x SN221395 from Japan,https://www.ebay.com/itm/Nikon-Teleconverter-TC-200-2x-SN221395-Japan-/133165989085,29.8,USD,JP,3323,Lenses,StoreInventory,Used
27,,Nikon Nikkor 50 mm F18 AiS MF Standard Prime Lens SN2197633 Japan,133170006623,Nikon Nikkor 50mm F/1.8 Ai-S MF Standard Prime Lens SN2197633 from Japan,https://www.ebay.com/itm/Nikon-Nikkor-50mm-F-1-8-Ai-S-MF-Standard-Prime-Lens-SN2197633-Japan-/133170006623,109.8,USD,JP,3323,Lenses,StoreInventory,Used
28,,Nikon NikkorO Auto 35 mm f2 NonAi MF Wide Angle Prime Lens AsIs,133174244183,Nikon Nikkor-O Auto 35mm f/2 Non-Ai MF Wide Angle Prime Lens SN807141 *As-Is*,https://www.ebay.com/itm/Nikon-Nikkor-O-Auto-35mm-f-2-Non-Ai-MF-Wide-Angle-Prime-Lens-SN807141-As-Is-/133174244183,99.8,USD,JP,3323,Lenses,StoreInventory,Used
29,,Nikon PK13 275 Extension Tube F Mount Japan,143373490534,Nikon PK-13 27.5 Extension Tube for F Mount from Japan,https://www.ebay.com/itm/Nikon-PK-13-27-5-Extension-Tube-F-Mount-Japan-/143373490534,27.8,USD,JP,30059,"Lens Adapters, Mounts & Tubes",StoreInventory,Used
30,,Nikon Micro NIKKOR 55 mm f28 AiS Macro Lens SN286791 Japan,143380064447,Nikon Micro NIKKOR 55mm f/2.8 Ai-S Macro Lens SN286791 from Japan,https://www.ebay.com/itm/Nikon-Micro-NIKKOR-55mm-f-2-8-Ai-S-Macro-Lens-SN286791-Japan-/143380064447,69.8,USD,JP,3323,Lenses,StoreInventory,Used
