,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,model,TotalCounts
99,,nikon back door,223659837105,Nikon Back Door for Nikon F SN567,https://www.ebay.com/itm/Nikon-Back-Door-Nikon-F-SN567-/223659837105,11.0,USD,JP,29973,Film Backs & Holders,StoreInventory,Used,,64
85,,nikon f3 eye,173868883688,[Exc+5] Nikon F3 Eye level Finder SLR 35mm Film Camera w/ MD-4 From Japan #40,https://www.ebay.com/itm/Exc-5-Nikon-F3-Eye-level-Finder-SLR-35mm-Film-Camera-w-MD-4-Japan-40-/173868883688,169.95,USD,JP,15230,Film Cameras,StoreInventory,Used,,64
84,,nikon back door,254344183537,Nikon Back Door for Nikon F  SN686 **Near Mint**,https://www.ebay.com/itm/Nikon-Back-Door-Nikon-F-SN686-Near-Mint-/254344183537,35.0,USD,JP,29973,Film Backs & Holders,StoreInventory,Used,,64
17,,nikon back door,254348697543,Nikon Back Door for Nikon F SN527 **Near Mint**,https://www.ebay.com/itm/Nikon-Back-Door-Nikon-F-SN527-Near-Mint-/254348697543,22.0,USD,JP,29973,Film Backs & Holders,StoreInventory,Used,,64
64,,nikon back door,254351496573,Nikon Back Door for Nikon F3  SN073 **Near Mint**,https://www.ebay.com/itm/Nikon-Back-Door-Nikon-F3-SN073-Near-Mint-/254351496573,45.0,USD,JP,29973,Film Backs & Holders,StoreInventory,Used,,64
81,,nikon f3 eye,362730348572,**EXCELLENT+++++** Nikon F3 Eye Level 35mm SLR Film Camera Body from JAPAN 0046,https://www.ebay.com/itm/EXCELLENT-Nikon-F3-Eye-Level-35mm-SLR-Film-Camera-Body-JAPAN-0046-/362730348572,244.99,USD,JP,15230,Film Cameras,StoreInventory,Used,,64
41,,nikon back door,254353337302,Nikon Back Door for Nikon F3 SN540,https://www.ebay.com/itm/Nikon-Back-Door-Nikon-F3-SN540-/254353337302,18.0,USD,JP,29973,Film Backs & Holders,StoreInventory,Used,,64
17,,nikon back door,223645982825,Nikon Back Door for Nikon F SN347 **Excellent+**,https://www.ebay.com/itm/Nikon-Back-Door-Nikon-F-SN347-Excellent-/223645982825,14.0,USD,JP,29973,Film Backs & Holders,StoreInventory,Used,,64
94,,nikon back door,254353329259,Nikon Back Door for Nikon FE FE2 FM SN633  **Near Mint**,https://www.ebay.com/itm/Nikon-Back-Door-Nikon-FE-FE2-FM-SN633-Near-Mint-/254353329259,18.0,USD,JP,29973,Film Backs & Holders,StoreInventory,Used,,64
31,,nikon back door,254353329259,Nikon Back Door for Nikon FE FE2 FM SN633  **Near Mint**,https://www.ebay.com/itm/Nikon-Back-Door-Nikon-FE-FE2-FM-SN633-Near-Mint-/254353329259,18.0,USD,JP,29973,Film Backs & Holders,StoreInventory,Used,,64
46,,nikon back door,254357214539,Nikon Back Door for Nikon F100  SN069,https://www.ebay.com/itm/Nikon-Back-Door-Nikon-F100-SN069-/254357214539,57.0,USD,JP,29973,Film Backs & Holders,StoreInventory,Used,,64
36,,nikon,133158250468,Nikonos IV-A Underwater Film Camera w/35mm f2.5 Lens Nikon,https://www.ebay.com/itm/Nikonos-IV-A-Underwater-Film-Camera-w-35mm-f2-5-Lens-Nikon-/133158250468,119.0,USD,JP,15230,Film Cameras,StoreInventory,Used,,6359
66,,nikon md4 motor,113745780387,*Exc+++* Nikon MD-4 Motor Drive for F3 HP P 35mm SLR Film Camera From JAPAN *525,https://www.ebay.com/itm/Exc-Nikon-MD-4-Motor-Drive-F3-HP-P-35mm-SLR-Film-Camera-JAPAN-525-/113745780387,52.7,USD,JP,29970,Motor Drives & Winders,StoreInventory,Used,Nikon MD-4,63
21,,nikon 35ti point,372756029414,[ Mint ] Nikon 35Ti Point & Shoot 35mm film Camera w/ Case from JAPAN #068,https://www.ebay.com/itm/Mint-Nikon-35Ti-Point-Shoot-35mm-film-Camera-w-Case-JAPAN-068-/372756029414,649.88,USD,JP,15230,Film Cameras,FixedPrice,Used,Nikon 35Ti,62
37,,nikon 35ti 35mm,143335577278,【 Near Mint+++ in Box 】Nikon 35Ti 35mm Point & Shoot Film Camera From Japan #123,https://www.ebay.com/itm/Near-Mint-Box-Nikon-35Ti-35mm-Point-Shoot-Film-Camera-Japan-123-/143335577278,669.9,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon 35Ti,62
98,,nikon ai zoom,163844204027,[AS IS] Nikon Ai Zoom Nikkor 80-200mm f/4.5 MF Lens From Japan,https://www.ebay.com/itm/AS-IS-Nikon-Ai-Zoom-Nikkor-80-200mm-f-4-5-MF-Lens-Japan-/163844204027,14.4,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Ai Zoom Nikkor 80-200mm f/4.5,62
73,,nikon 35ti 35mm,173855975651,[AB- Exc] Nikon 35Ti 35mm Point & Shoot Film Camera Body Only From JAPAN 5497,https://www.ebay.com/itm/AB-Exc-Nikon-35Ti-35mm-Point-Shoot-Film-Camera-Body-Only-JAPAN-5497-/173855975651,458.0,USD,JP,15230,Film Cameras,FixedPrice,Used,35Ti,62
77,,nikon 35ti easy,264456934831,Exc+5] Nikon 35Ti easy switch as 28Ti Point & Shoot 35mm Film Camera From Japan,https://www.ebay.com/itm/Exc-5-Nikon-35Ti-easy-switch-28Ti-Point-Shoot-35mm-Film-Camera-Japan-/264456934831,599.99,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon 35Ti,62
79,,nikon ais ais,123856343583,【EXC+++++】 Nikon Ais Ai-s Nikkor 35mm f/ 2 Wide Angle MF Lens #H51,https://www.ebay.com/itm/EXC-Nikon-Ais-Ai-s-Nikkor-35mm-f-2-Wide-Angle-MF-Lens-H51-/123856343583,199.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Ai-s Nikkor 35mm f/2,62
31,,nikon 35 ti,183955096303,【 TOP MINT 】 Nikon 35 Ti Point & Shoot Film Camera 35mm w/ Case From Japan #1529,https://www.ebay.com/itm/TOP-MINT-Nikon-35-Ti-Point-Shoot-Film-Camera-35mm-w-Case-Japan-1529-/183955096303,699.9,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon 35Ti,62
69,,nikon nikkor 35mm,383146813955,【Exc+5 w/ Hood 】 Nikon NIKKOR 35mm f/2 Ai-s Wide Angle F Mount Lens from JAPAN,https://www.ebay.com/itm/Exc-5-w-Hood-Nikon-NIKKOR-35mm-f-2-Ai-s-Wide-Angle-F-Mount-Lens-JAPAN-/383146813955,199.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Nikkor 35mm f/2 Ai-S,61
57,,nikon nikomat ftn,223648704804,Nikon Nikomat FTN 35mm SLR Film Camera Body Only SN4242586,https://www.ebay.com/itm/Nikon-Nikomat-FTN-35mm-SLR-Film-Camera-Body-Only-SN4242586-/223648704804,11.8,USD,JP,15230,Film Cameras,StoreInventory,Used,,61
82,,nikon nikomat ftn,323907152018,Nikon Nikomat FTN 35mm SLR Film Camera Body Only SN4149649,https://www.ebay.com/itm/Nikon-Nikomat-FTN-35mm-SLR-Film-Camera-Body-Only-SN4149649-/323907152018,14.8,USD,JP,15230,Film Cameras,StoreInventory,Used,,61
95,,nikon nikomat ftn,153637263820,NIKON NIKOMAT FTN BLACK BODY W/ NIKKOR 28mm F/3.5 LENS KIT [EXC+++++] FROM JAPAN,https://www.ebay.com/itm/NIKON-NIKOMAT-FTN-BLACK-BODY-W-NIKKOR-28mm-F-3-5-LENS-KIT-EXC-JAPAN-/153637263820,79.99,USD,JP,15230,Film Cameras,StoreInventory,Used,,61
6,,nikon nikomat ftn,153637263820,NIKON NIKOMAT FTN BLACK BODY W/ NIKKOR 28mm F/3.5 LENS KIT [EXC+++++] FROM JAPAN,https://www.ebay.com/itm/NIKON-NIKOMAT-FTN-BLACK-BODY-W-NIKKOR-28mm-F-3-5-LENS-KIT-EXC-JAPAN-/153637263820,79.99,USD,JP,15230,Film Cameras,StoreInventory,Used,,61
3,,nikon nikomat ftn,323914848518,Nikon Nikomat FTN 35mm SLR Film Camera Body Only  SN4168209,https://www.ebay.com/itm/Nikon-Nikomat-FTN-35mm-SLR-Film-Camera-Body-Only-SN4168209-/323914848518,15.8,USD,JP,15230,Film Cameras,StoreInventory,Used,,61
63,,nikon nikomat ftn,254339517783,Nikon Nikomat FTN Black w/Nikkor‐S.C Auto 50mm f/1.4 non Ai from Japan EXCELLENT,https://www.ebay.com/itm/Nikon-Nikomat-FTN-Black-w-Nikkor-S-C-Auto-50mm-f-1-4-non-Ai-Japan-EXCELLENT-/254339517783,123.33,USD,JP,15230,Film Cameras,StoreInventory,Used,,61
6,,ab exc afs,173993216084,[AB- Exc] AF-S NIKKOR 28-70mm f/2.8 ED D IF Lens Light Gray Hood From JAPAN 5730,https://www.ebay.com/itm/AB-Exc-AF-S-NIKKOR-28-70mm-f-2-8-ED-D-IF-Lens-Light-Gray-Hood-JAPAN-5730-/173993216084,698.0,USD,JP,3323,Lenses,FixedPrice,Used,AF-S NIKKOR 28-70mm f/2.8 ED D,60
79,,nikon mb21 battery,283611582277,[AS-IS for parts] Nikon MB-21 Battery Grip For Nikon F4 F4s from JAPAN SK151,https://www.ebay.com/itm/AS-IS-parts-Nikon-MB-21-Battery-Grip-Nikon-F4-F4s-JAPAN-SK151-/283611582277,19.99,USD,JP,29967,Battery Grips,FixedPrice,Used,MB-21 Battery Grip Pack,6
6,,nikon afs fx,263514939691,USED Nikon AF-S FX NIKKOR 50mm f/1.8G Excellent FREE SHIPPING,https://www.ebay.com/itm/USED-Nikon-AF-S-FX-NIKKOR-50mm-f-1-8G-Excellent-FREE-SHIPPING-/263514939691,278.0,USD,JP,31388,Digital Cameras,StoreInventory,Used,,6
49,,nikon speedlight sb16b,143363731213,"Nikon Speedlight SB-16B Shoe Mount Flash SN6228799 w/AS-9, Case SS-16",https://www.ebay.com/itm/Nikon-Speedlight-SB-16B-Shoe-Mount-Flash-SN6228799-w-AS-9-Case-SS-16-/143363731213,29.8,USD,JP,48515,Flashes,StoreInventory,Used,,6
83,,nikon nikkor 3570mm,163703636008,Nikon Nikkor 35-70mm f 3.5 f/3.5 Ai Lens *776844,https://www.ebay.com/itm/Nikon-Nikkor-35-70mm-f-3-5-f-3-5-Ai-Lens-776844-/163703636008,68.99,USD,JP,3323,Lenses,FixedPrice,Used,,6
85,,nikon dw30 waist,113885517301,Nikon DW-30 Waist Level Finder 35mm SLR View finder for Nikon F5,https://www.ebay.com/itm/Nikon-DW-30-Waist-Level-Finder-35mm-SLR-View-finder-Nikon-F5-/113885517301,115.0,USD,JP,167930,Viewfinders & Eyecups,StoreInventory,Used,,6
26,,nikon ais f,173997698443,【MINT】 Voigtlander Ultron 40mm F2 SL II N Aspherical Nikon Ais F Mount JAPAN,https://www.ebay.com/itm/MINT-Voigtlander-Ultron-40mm-F2-SL-II-N-Aspherical-Nikon-Ais-F-Mount-JAPAN-/173997698443,439.99,USD,JP,3323,Lenses,StoreInventory,Used,Voigtlander Ultron 40mm F2 SL II N Aspherical,6
70,,nikon filter 72mm,202631923658,"""Near Mint"" Nikon Filter 72mm L37c Genuine From Japan #650",https://www.ebay.com/itm/Near-Mint-Nikon-Filter-72mm-L37c-Genuine-Japan-650-/202631923658,29.99,USD,JP,15216,Filters,StoreInventory,Used,72mm L37c,6
97,,nikon sb300 speedlight,392391407206,**Mint** NIKON SB-300 Speedlight Shoe Mount Flash w/ Diffuser from Japan,https://www.ebay.com/itm/Mint-NIKON-SB-300-Speedlight-Shoe-Mount-Flash-w-Diffuser-Japan-/392391407206,79.9,USD,JP,48515,Flashes,FixedPrice,Used,,6
12,,nikon ais from,163855906698,[Excellent] Sigma 14mm f/3.5 Fish eye MF Lens for Nikon Ai-s From Japan,https://www.ebay.com/itm/Excellent-Sigma-14mm-f-3-5-Fish-eye-MF-Lens-Nikon-Ai-s-Japan-/163855906698,128.7,USD,JP,3323,Lenses,StoreInventory,Used,Sigma 14mm f/3.5,6
26,,nikon nikkor 3570mm,163710728177,Exc+++ Nikon Nikkor 35-70mm f 3.5 f/3.5 Ai-S Lens *974937,https://www.ebay.com/itm/Exc-Nikon-Nikkor-35-70mm-f-3-5-f-3-5-Ai-S-Lens-974937-/163710728177,113.99,USD,JP,3323,Lenses,FixedPrice,Used,,6
92,,nikon mf22 data,223669939134,Nikon MF-22 Data Back for Nikon F4 F4S F4E  SN215726 **Excellent++**,https://www.ebay.com/itm/Nikon-MF-22-Data-Back-Nikon-F4-F4S-F4E-SN215726-Excellent-/223669939134,23.0,USD,JP,29973,Film Backs & Holders,StoreInventory,Used,,6
44,,nikon hn2 genuine,264441610631,Nikon HN-2 Genuine Metal Lens Hood 52mm screw-in for 28mm f2.8  #a0233,https://www.ebay.com/itm/Nikon-HN-2-Genuine-Metal-Lens-Hood-52mm-screw-in-28mm-f2-8-a0233-/264441610631,9.98,USD,JP,78999,Lens Hoods,StoreInventory,Used,,6
85,,nikon hr2 rubber,153608580179,"Excellent++ Nikon HR-2 Rubber Lens Hood 55/1.2 R8 for 55mm f/1.2, 58mm f/1.2",https://www.ebay.com/itm/Excellent-Nikon-HR-2-Rubber-Lens-Hood-55-1-2-R8-55mm-f-1-2-58mm-f-1-2-/153608580179,14.44,USD,JP,78999,Lens Hoods,FixedPrice,Used,HR-2,6
19,,nikon nikkorqc auto,303257423888,"""As Is"" Nikon Nikkor-Q.C Auto 135mm f/2.8 Non-Ai Lens w/Case from Japan #A1679",https://www.ebay.com/itm/As-Is-Nikon-Nikkor-Q-C-Auto-135mm-f-2-8-Non-Ai-Lens-w-Case-Japan-A1679-/303257423888,49.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Nikkor-Q.C Auto 135mm f/2.8 Non-Ai,6
29,,nikon ais nikkor,264457795702,[Mint] Nikon Ai-s Nikkor 24mm F/2.8 MF Wide Angle Lens Filter ais From Japan 157,https://www.ebay.com/itm/Mint-Nikon-Ai-s-Nikkor-24mm-F-2-8-MF-Wide-Angle-Lens-Filter-ais-Japan-157-/264457795702,179.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Ai-S Nikkor 24mm F2.8,59
73,,nikon ai zoom,392423203650,[Excellent+++++5] Nikon Ai Zoom Nikkor 35-70mm f/3.5 MF Lens F Mount from JAPAN,https://www.ebay.com/itm/Excellent-5-Nikon-Ai-Zoom-Nikkor-35-70mm-f-3-5-MF-Lens-F-Mount-JAPAN-/392423203650,109.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon Ai Zoom Nikkor 35-70mm f/3.5,59
61,,nikon af micro,333328846183,Nikon AF MICRO NIKKOR 105mm F2.8D AF Lens for F Mount w/ Metal Hood #190624f,https://www.ebay.com/itm/Nikon-AF-MICRO-NIKKOR-105mm-F2-8D-AF-Lens-F-Mount-w-Metal-Hood-190624f-/333328846183,255.15,USD,JP,3323,Lenses,StoreInventory,Used,,585
4,,nikon af micro,133168020455,[Excellent+++] NIKON AF MICRO NIKKOR 200mm F4 D w/ HN-30 #635,https://www.ebay.com/itm/Excellent-NIKON-AF-MICRO-NIKKOR-200mm-F4-D-w-HN-30-635-/133168020455,907.25,USD,JP,3323,Lenses,StoreInventory,Used,,583
68,,nikon af micro,293226991199,Excellent-!! Nikon AF MICRO NIKKOR 105mm f/2.8 D from Japan,https://www.ebay.com/itm/Excellent-Nikon-AF-MICRO-NIKKOR-105mm-f-2-8-D-Japan-/293226991199,179.0,USD,JP,3323,Lenses,StoreInventory,Used,,583
74,,nikon af micro,153600321779,Nikon AF Micro Nikkor 105mm F/2.8 D Prime Lens Excellent+++ Japan Tested #3871,https://www.ebay.com/itm/Nikon-AF-Micro-Nikkor-105mm-F-2-8-D-Prime-Lens-Excellent-Japan-Tested-3871-/153600321779,216.5,USD,JP,3323,Lenses,StoreInventory,Used,,583
12,,nikon af micro,183741182511,[EXC] Nikon AF MICRO NIKKOR 60 60mm 2.8 1:2.8 Lens from Japan #KS406,https://www.ebay.com/itm/EXC-Nikon-AF-MICRO-NIKKOR-60-60mm-2-8-1-2-8-Lens-Japan-KS406-/183741182511,150.0,USD,JP,3323,Lenses,StoreInventory,Used,,583
62,,nikon af micro,163853603377,NIKON AF MICRO NIKKOR ED 200mm f/4D IF Excellent,https://www.ebay.com/itm/NIKON-AF-MICRO-NIKKOR-ED-200mm-f-4D-IF-Excellent-/163853603377,978.0,USD,JP,3323,Lenses,StoreInventory,Used,,583
78,,nikon af micro,254239845478,Nikon AF Micro Nikkor 105mm f/2.8 Lens from Japan 443435,https://www.ebay.com/itm/Nikon-AF-Micro-Nikkor-105mm-f-2-8-Lens-Japan-443435-/254239845478,174.0,USD,JP,3323,Lenses,StoreInventory,Used,,583
31,,nikon af micro,333328522532,"""MINT"" Nikon AF MICRO NIKKOR 60mm F2.8D Lens for F Mount #190908k",https://www.ebay.com/itm/MINT-Nikon-AF-MICRO-NIKKOR-60mm-F2-8D-Lens-F-Mount-190908k-/333328522532,222.0,USD,JP,3323,Lenses,StoreInventory,Used,,583
73,,nikon af micro,183741182511,[EXC] Nikon AF MICRO NIKKOR 60 60mm 2.8 1:2.8 Lens from Japan #KS406,https://www.ebay.com/itm/EXC-Nikon-AF-MICRO-NIKKOR-60-60mm-2-8-1-2-8-Lens-Japan-KS406-/183741182511,150.0,USD,JP,3323,Lenses,StoreInventory,Used,,583
54,,nikon f80 35mm,123850128045,Almost-Mint Nikon F80 35mm SLR Film Camera Body Only from JAPAN K469152,https://www.ebay.com/itm/Almost-Mint-Nikon-F80-35mm-SLR-Film-Camera-Body-Only-JAPAN-K469152-/123850128045,58.0,USD,JP,15230,Film Cameras,FixedPrice,Used,Nikon F80,58
62,,nikon af nikkor,392358444732,【NEAR MINT】 Nikon AF Nikkor 28mm f/2.8 Wide Angle Lens From JAPAN #88,https://www.ebay.com/itm/NEAR-MINT-Nikon-AF-Nikkor-28mm-f-2-8-Wide-Angle-Lens-JAPAN-88-/392358444732,79.99,USD,JP,3323,Lenses,FixedPrice,Used,Nikon AF Nikkor 28mm f/2.8,58
20,,mintnikon af nikkor,283618565737,【MINT】Nikon AF Nikkor 28mm f/2.8 Wide Angle Lens from JAPAN 490405,https://www.ebay.com/itm/MINT-Nikon-AF-Nikkor-28mm-f-2-8-Wide-Angle-Lens-JAPAN-490405-/283618565737,89.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF Nikkor 28mm f/2.8,58
85,,excellentnikon af nikkor,254276519552,【Excellent++】Nikon AF Nikkor 28mm f/2.8 D Wide Angle Lens  from Japan,https://www.ebay.com/itm/Excellent-Nikon-AF-Nikkor-28mm-f-2-8-D-Wide-Angle-Lens-Japan-/254276519552,139.99,USD,JP,3323,Lenses,StoreInventory,Used,AF Nikkor 28mm f/2.8,58
80,,nikon fe black,192865654490,"""Near MINT Meter Works!""  Nikon FE Black Camera Body  w/ Body cap from JAPAN 906",https://www.ebay.com/itm/Near-MINT-Meter-Works-Nikon-FE-Black-Camera-Body-w-Body-cap-JAPAN-906-/192865654490,119.99,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon FE,571
91,,nikon fe silver,264459186373,"""MINT"" Nikon FE Silver 35mm SLR Film Camera w/ Strap Cap From Japan #5234",https://www.ebay.com/itm/MINT-Nikon-FE-Silver-35mm-SLR-Film-Camera-w-Strap-Cap-Japan-5234-/264459186373,149.0,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon FE,571
35,,nikon fe black,283608607112,[Near Mint] Nikon FE Black 35mm SLR Film Camera Body Only from JAPAN MH128,https://www.ebay.com/itm/Near-Mint-Nikon-FE-Black-35mm-SLR-Film-Camera-Body-Only-JAPAN-MH128-/283608607112,99.99,USD,JP,15230,Film Cameras,FixedPrice,Used,Nikon FE,571
18,,nikon fe black,362739483996,[Mint] Nikon FE Black 35mm SLR Film Camera Body w/ Body Cap From JAPAN,https://www.ebay.com/itm/Mint-Nikon-FE-Black-35mm-SLR-Film-Camera-Body-w-Body-Cap-JAPAN-/362739483996,109.99,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon FE,571
49,,nikon fe 35mm,264459915421,Nikon FE 35mm SLR Film Camera Body Only  SN4106487,https://www.ebay.com/itm/Nikon-FE-35mm-SLR-Film-Camera-Body-Only-SN4106487-/264459915421,39.8,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon FE,571
15,,nikon fe black,183904527978,【Near MINT】 Nikon FE Black SLR Film Camera Body Only from Japan,https://www.ebay.com/itm/Near-MINT-Nikon-FE-Black-SLR-Film-Camera-Body-Only-Japan-/183904527978,109.99,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon FE,571
35,,nikon silver fe,233302295728,Nikon Silver FE 35mm SLR Film Camera w Nikkor 43-86mm f/3.5 Lens Excellent,https://www.ebay.com/itm/Nikon-Silver-FE-35mm-SLR-Film-Camera-w-Nikkor-43-86mm-f-3-5-Lens-Excellent-/233302295728,82.0,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon FE,571
19,,nikon fe 35mm,264460357312,Nikon FE 35mm SLR Film Camera Body Only from Japan [Exc+++++] #487923A,https://www.ebay.com/itm/Nikon-FE-35mm-SLR-Film-Camera-Body-Only-Japan-Exc-487923A-/264460357312,59.9,USD,JP,15230,Film Cameras,FixedPrice,Used,Nikon FE,571
78,,nikon fe 35mm,174021213234,[MINT] Nikon FE 35mm SLR Film Camera Black Body w/ MF-12  from JAPAN 3851,https://www.ebay.com/itm/MINT-Nikon-FE-35mm-SLR-Film-Camera-Black-Body-w-MF-12-JAPAN-3851-/174021213234,113.99,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon FE,571
93,,nikon fe black,293201597606,"""Exc+++++"" Nikon FE Black 35mm SLR Film Camera Body w/ Strap From Japan",https://www.ebay.com/itm/Exc-Nikon-FE-Black-35mm-SLR-Film-Camera-Body-w-Strap-Japan-/293201597606,104.0,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon FE,571
88,,nikon fe 35mm,223646016687,Nikon FE 35mm SLR Camera light seal renewed with eye cup from Japan Exc.++ 2061,https://www.ebay.com/itm/Nikon-FE-35mm-SLR-Camera-light-seal-renewed-eye-cup-Japan-Exc-2061-/223646016687,69.99,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon FE,571
89,,nikon fe 35mm,223646019455,Nikon FE 35mm SLR Camera light seal renewed with eye cup from Japan Exc.++ 2062,https://www.ebay.com/itm/Nikon-FE-35mm-SLR-Camera-light-seal-renewed-eye-cup-Japan-Exc-2062-/223646019455,69.99,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon FE,571
47,,nikon fe 35mm,333299647743,【Excellent ++++】NIKON FE 35mm SLR MF BLACK Camera Body only from JAPAN #1683,https://www.ebay.com/itm/Excellent-NIKON-FE-35mm-SLR-MF-BLACK-Camera-Body-only-JAPAN-1683-/333299647743,129.99,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon FE,570
98,,nikon nikkor 135mm,163532388340,Nikon Nikkor 135mm F/2.8 Ai Kai Telephoto MF Lens Made In Japan,https://www.ebay.com/itm/Nikon-Nikkor-135mm-F-2-8-Ai-Kai-Telephoto-MF-Lens-Made-Japan-/163532388340,94.29,USD,JP,3323,Lenses,StoreInventory,Used,,570
4,,nikon nikkor 135mm,193014665877,Near Mint Nikon NIKKOR 135mm f/2.8 Ai Manual Focus MF Lens Japan #614,https://www.ebay.com/itm/Near-Mint-Nikon-NIKKOR-135mm-f-2-8-Ai-Manual-Focus-MF-Lens-Japan-614-/193014665877,164.0,USD,JP,3323,Lenses,StoreInventory,Used,,570
36,,nikon fe black,192951812208,【EXC+4】 Nikon FE Black 35mm SLR Camera + Nikkor-H AUTO 50mm F/2 from JAPAN #41,https://www.ebay.com/itm/EXC-4-Nikon-FE-Black-35mm-SLR-Camera-Nikkor-H-AUTO-50mm-F-2-JAPAN-41-/192951812208,89.99,USD,JP,15230,Film Cameras,FixedPrice,Used,Nikon FE,570
96,,nikon fe black,323902903416,""" Exc +5 "" Nikon FE Black SLR  35mm camera w/ 35-70mm f/3.5-4.5 Ai-s lens JAPAN",https://www.ebay.com/itm/Exc-5-Nikon-FE-Black-SLR-35mm-camera-w-35-70mm-f-3-5-4-5-Ai-s-lens-JAPAN-/323902903416,107.99,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon FE,570
94,,nikon fe slr,223587676168,[Exc++++] Nikon FE SLR Camera w/ Ai-s Zoom-Nikkor Lens & SS-22 Flash from JAPAN,https://www.ebay.com/itm/Exc-Nikon-FE-SLR-Camera-w-Ai-s-Zoom-Nikkor-Lens-SS-22-Flash-JAPAN-/223587676168,129.99,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon FE,570
3,,nikon ais nikkor,273973933637,Very Good Nikon Ai-S NIKKOR 24mm f2.8 Manual Lens from Japan,https://www.ebay.com/itm/Very-Good-Nikon-Ai-S-NIKKOR-24mm-f2-8-Manual-Lens-Japan-/273973933637,108.0,USD,JP,3323,Lenses,StoreInventory,Used,Ai-S NIKKOR 24mm f2.8,57
46,,nikon fm 35mm,383138450069,Nikon FM 35mm SLR Film Camera Black Body Only From JAPAN #434  *As-Is*,https://www.ebay.com/itm/Nikon-FM-35mm-SLR-Film-Camera-Black-Body-Only-JAPAN-434-As-Is-/383138450069,59.9,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon FM,563
71,,nikon fm 35mm,264446358731,Nikon FM 35mm SLR Film Camera Body Only SN2197971,https://www.ebay.com/itm/Nikon-FM-35mm-SLR-Film-Camera-Body-Only-SN2197971-/264446358731,63.8,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon FM,563
0,,nikon fm slr,333124532026,[Ex++++] Nikon FM SLR 35mm Film camera body from JAPAN #1111,https://www.ebay.com/itm/Ex-Nikon-FM-SLR-35mm-Film-camera-body-JAPAN-1111-/333124532026,119.99,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon FM,563
7,,nikon nikkor 28mm,333208894285,[Excellent] Nikon Nikkor 28mm f 2.8 f/2.8 Ai-S Lens  (120-W72),https://www.ebay.com/itm/Excellent-Nikon-Nikkor-28mm-f-2-8-f-2-8-Ai-S-Lens-120-W72-/333208894285,110.0,USD,JP,3323,Lenses,StoreInventory,Used,,561
82,,nikon nikkor 28mm,233278494472,Nikon Nikkor 28mm f/2 MF Ai Lens Excellent++ No. 454070,https://www.ebay.com/itm/Nikon-Nikkor-28mm-f-2-MF-Ai-Lens-Excellent-No-454070-/233278494472,188.0,USD,JP,3323,Lenses,StoreInventory,Used,,561
22,,nikon nikkor 28mm,153427737587,mint Nikon Nikkor 28mm f 2.8 f/2.8 Ai Lens *608854,https://www.ebay.com/itm/mint-Nikon-Nikkor-28mm-f-2-8-f-2-8-Ai-Lens-608854-/153427737587,163.99,USD,JP,3323,Lenses,StoreInventory,Used,,561
53,,nikon nikkor 28mm,153638050342,Exc+ Nikon Nikkor 28mm f 2.8 f/2.8 Non Ai Lens *399897,https://www.ebay.com/itm/Exc-Nikon-Nikkor-28mm-f-2-8-f-2-8-Non-Ai-Lens-399897-/153638050342,88.99,USD,JP,3323,Lenses,FixedPrice,Used,,561
52,,nikon nikkor 28mm,153622868670,Exc+++ Nikon Nikkor 28mm f 2.8 f/2.8 Ai Lens *459865,https://www.ebay.com/itm/Exc-Nikon-Nikkor-28mm-f-2-8-f-2-8-Ai-Lens-459865-/153622868670,123.99,USD,JP,3323,Lenses,FixedPrice,Used,,561
73,,nikon nikkor 28mm,143365317957,Nikon Nikkor 28mm F/2 Lens #23435 A5,https://www.ebay.com/itm/Nikon-Nikkor-28mm-F-2-Lens-23435-A5-/143365317957,189.0,USD,JP,3323,Lenses,FixedPrice,Used,,561
