,model
631,Nikon Ai-s Nikkor 35mm F/1.4
632,Nikon Ai -s NIKKOR 28mm f/2
633,AF Nikkor 35-135mm f3-5-4.5
634,Nikon AF-S VR Zoom-NIKKOR 70-200mm F/2.8G
635,Nikkor-S Auto 50mm f/1.4
636,Nikon Ai Nikkor 43-86mm f/3.5 MF Zoom Lens
637,IX-Nikkor 20-60mm f/3.5-5.6
638,Close up
639,Non Ai
640,AF-S NIKKOR 24-70mm f/2.8 G ED
